Noel Quinn,2020,2019,Ewen Stevenson,2020,2019,Non-executive Directors,2020,2019
£000,,,f000,,,£000,,
"Basic salaries, allowances and benefits in kind","3,338",1.312,"1,806",1.820,"5,527","5,335",,
Pension contributions,-,-,-,-,二,二,,
Performance-related pay paid or receivable,"4,517",665,"2,568","3,176",-,-,,
Inducements to join paid or receivable,,,"1,431",1.974,1,1,,
Compensation for loss of office,,,,,一,,,
Notional return on deferred cash,17,-,二,二,二,二,,
Total,"7,872","1,977","5,805","6,970","5,527","5,335",,
Total ($000),"10,097","2,522","7,446",8.890,"7,090","6,843",,
