Total,Gross carrying/nominal amount,ECL coverage,UK,Gross carrying/nominal amount,ECL coverage,Hong Kong,Gross carrying/nominal amount,ECL coverage
Rated CRR/PD8,Not collateralised,$m,7.1,924,8.7,103,25.2,
Rated CRR/PD8,Fully collateralised,$m,5.2,171,9.4,15,,
LTV ratio:,- less than 50%,$m,4.1,29,10.3,1,,
LTV ratio:,- 51% to 75%,$m,6.3,87,6.9,1,,
LTV ratio:,- 76% to 90%,$m,5.0,13,23.1,14,,
LTV ratio:,- 91% to 100%,$m,4.1,42,9.5,1,,
Partially collateralised (A):,$m,8.1,174,9.2,27,3.7,,
Partially collateralised (A):,collateral value on A,$m,352,83,13,,,
Total,$m,6.8,"1,269",8.7,145,18.6,,
Rated CRR/PD9 to 10,Not collateralised,$m,49.7,"2,847",29.1,865,66.0,
Rated CRR/PD9 to 10,Fully collateralised,$m,18.1,585,7.9,388,11.6,
LTV ratio:,- less than 50%,$m,24.2,151,8.6,84,6.0,
LTV ratio:,- 51% to 75%,$m,18.8,182,12.6,139,5.0,
LTV ratio:,- 76% to 90%,$m,15.0,211,1.9,83,34.9,
LTV ratio:,- 91% to 100%,$m,11.3,41,14.6,82,4.9,
Partially collateralised (B):,$m,35.6,553,23.1,592,26.4,,
Partially collateralised (B):,collateral value on B,$m,"1,623",337,322,,,
Total,$m,41.7,"3,985",25.2,"1,845",41.8,,
At 31 Dec 2020,$m,31.4,"5,254",21.2,"1,990",40.2,,
Rated CRR/PD8,Not collateralised,$m,5.8,285,13.0,10,70.0,
Rated CRR/PD8,Fully collateralised,$m,3.3,382,2.6,,,
LTV ratio:,- less than 50%,$m,2.8,120,1.7,,,
LTV ratio:,- 51% to 75%,$m,4.2,93,3.2,,,
LTV ratio:,- 76% to 90%,$m,2.1,42,2.4,,,
LTV ratio:,- 91% to 100%,$m,3.7,127,3.9,,,
Partially collateralised (A):,$m,4.7,53,5.7,73,2.7,,
Partially collateralised (A):,collateral value on A,$m,152,34,6,,,
Total,$m,5.2,720,6.9,83,12.0,,
Rated CRR/PD9 to 10,Not collateralised,$m,48.5,"1,930",34.1,510,82.5,
Rated CRR/PD9 to 10,Fully collateralised,$m,22.0,494,12.6,96,11.5,
LTV ratio:,- less than 50%,$m,35.2,103,17.5,10,,
LTV ratio:,- 51% to 75%,$m,22.8,198,8.6,30,3.3,
LTV ratio:,- 76% to 90%,$m,23.6,101,20.8,,,
LTV ratio:,- 91% to 100%,$m,9.1,92,7.6,,,
Partially collateralised (B):,$m,44.0,427,17.6,119,58.8,,
Partially collateralised (B):,collateral value on B,$m,750,211,64,,,
Total,$m,42.7,"2,851",27.9,725,69.2,,
At 31 Dec 2019,$m,31.3,"3,571",23.7,808,63.4,,
