Measures (with weighting),Minimum (25% payout),Target (50% payout),Maximum (100% payout),Actual,Assessment,Outcome,
Average return on equity (with CET1 underpin)² (20%),9.0%,10.0%,11.0%,7.3%,0.0%,0.00%,
Cost-efficiency ratio (20%),60.0%,58.0%,55.5%,62.4%,0.0%,0.00%,
Relative total shareholder return³ (20%),At median of peer group,Straight-line vesting between minimum and maximum,At upper quartile of peer group,Rank 11th,0.0%,0.00%,
Risk and compliance4 (25%) ·Achieve and sustain compliance with Global Financial Crime Compliance policies and procedures.,"Performance assessed by the Committee based on a number of qualitative and quantitative inputs such as Group Financial Crime Risk assessment against Financial Crime Compliance objectives,outcome","Performance assessed by the Committee based on a number of qualitative and quantitative inputs such as Group Financial Crime Risk assessment against Financial Crime Compliance objectives,outcome","Performance assessed by the Committee based on a number of qualitative and quantitative inputs such as Group Financial Crime Risk assessment against Financial Crime Compliance objectives,outcome","Performance assessed by the Committee based on a number of qualitative and quantitative inputs such as Group Financial Crime Risk assessment against Financial Crime Compliance objectives,outcome",,,
"Group operation risk management framework,along with its policies and practices. Achieve and sustain delivery of global conduct outcomes and compliance","of assurance and audit reviews,and achievement of long-term Group objectives and priorities during the performance period,with input and approval from the Group Risk Committee.","of assurance and audit reviews,and achievement of long-term Group objectives and priorities during the performance period,with input and approval from the Group Risk Committee.","of assurance and audit reviews,and achievement of long-term Group objectives and priorities during the performance period,with input and approval from the Group Risk Committee.","of assurance and audit reviews,and achievement of long-term Group objectives and priorities during the performance period,with input and approval from the Group Risk Committee.",65.0% 65.0%,,16.25%
with conduct of business regulatory obligations. Strategy (15%),,,,,,,
Sustainable finance ($bn)5,Sustainable finance ($bn)5,Sustainable finance ($bn)5,Sustainable finance ($bn)5,Sustainable finance ($bn)5,Sustainable finance ($bn)5,Sustainable finance ($bn)5,
Employee confidence6,30.0 65.0%,34.0 67.0%,37.0 70.0%,,,,
Customer,Customer,Customer,Customer,Customer,Customer,Customer,
,"three of top five markets for WPB, CMB and GBM.","four of top five markets for WPB, CMB and GBM.","recommendation in al of top five markets for WPB, CMB and GBM.",in three of top five markets,25.0%,1.25%,
,Improvement in recommendation in,Improvement in recommendation in,Improvement in,,,,
top five markets by revenue),top five markets by revenue),top five markets by revenue),top five markets by revenue),top five markets by revenue),top five markets by revenue),top five markets by revenue),
(based on customer recommendation in,(based on customer recommendation in,(based on customer recommendation in,(based on customer recommendation in,(based on customer recommendation in,(based on customer recommendation in,(based on customer recommendation in,
,,,,62.0%,0.0%,0.00%,
,,,,93.0,100.0%,5.00%,
,,,,Improvement,,,
