Non-credit impaired,Stage 1,Stage 2,Stage 2,Stage 3,Stage 3,POCI,POCI,Total,Total
Gross carrying/nominal amount,Allowance for ECL,Gross carrying/nominal amount,Allowance for ECL,Gross carrying/nominal amount,Allowance for ECL,Gross carrying/nominal amount,Allowance for ECL,Gross carrying/nominal amount,Allowance for ECL
$m,$m,$m,$m,$m,$m,$m,$m,$m,$m
At 1 Jan 2020,"1,561,613","(1,464)","105,551","(2,441)","14,335","(5,121)",345,(99),"1,681,844"
Transfers of financial instruments:,,,,,,,,,
transfers from stage 1 to stage 2,"(298,725)",947,"298,725",(947),,,,,
transfers from stage 2 to stage 1,"172,894","(2,073)","(172,894)","2,073",,,,,
transfers to stage 3,"(3,942)",30,"(10,320)",986,"14,262","(1,016)",,,
transfers from stage 3,537,(26),"1,272",(161),"(1,809)",187,,,
Net remeasurement of ECL arising from transfer of stage,,907,,"(1,158)",,(750),,,"(1,001)"
New financial assets originated or purchased,"437,836",(653),,,,,25,(1),"437,861"
Assets derecognised (including final repayments),"(313,347)",160,"(37,409)",464,"(3,430)",485,(23),2,"(354,209)"
Changes to risk parameters – further lending/repayment,"83,147",157,"29,092",85,597,248,50,2,"54,702"
Changes to risk parameters – credit quality,,(408),,"(4,374)",,,,,
At 31 Dec 2020,,,,,,,,,
