,Other Financial,Other Financial,Other Financial,Other Financial,Other Financial,Other reserves Merger Total,Other reserves Merger Total
,Called up share capital,Share premium,equity instruments,Retained earnings1,assets at FVOCl reserve,and other reserves,shareholders' equity
,$m,$m,$m,$m,$m,$m,$m
At1 Jan 2020,"10,319","13,959","20,743","62,484",1,"37,539","145,044"
Profit for the year,二,1,1,"4,085",1,二,"4,085"
Other comprehensive income (net of tax),二,1,1,176,1,1,176
- changes in fair value of financial liabilities designated at fair value due to movement in own credit risk,1,1,1,176,1,1,176
Total comprehensive income for the year,二,1,1,"4,261",1,1,"4,261"
Shares issued under employee share plans,28,318,1,"2,540",二,"(2,347)",539
Capital securities issued,二,二,"1,500",(15),二,二,"1,485"
Dividends to shareholders,二,二,1,"(1,331)",二,二,"(1,331)"
Redemption of capital securities,二,1,1,"(1,450)",二,1,"(1,450)"
Transfers4,1,1,二,435,1,(435),
Other movements5,1,1,171,"(1,919)",1,1,1
At31 Dec 2020,"10,347","14,277","22,414","65,005",1,"34,757","(1,748)"
,,,,,,,"146,800"
At 1 Jan 2019,"10,180","13,609","22,231","61,434",,"39,899","147,353"
Profit for the year,,,,"9,041",,,"9,041"
Other comprehensive income (net of tax),,,,(396),,,(396)
- changes in fair value of financial liabilities designated at fair value,,,,,,,
due to movement in own credit risk,,,,(396),,,(396)
Total comprehensive income for the year,1,1,一,"8,645",,一,"8,645"
Shares issued under employee share plans,36,521,1,(56),1,1,501
Shares issued in lieu of dividends and amounts arising thereon,171,(171),,"2,687",,1,"2,687"
Cancellation of shares²,(68),1,一,"(1,000)",,68,"(1,000)"
Capital securities issued,二,1,1,1,1,1,1
Dividends to shareholders,1,1,一,"(11,683)",1,一,"(11,683)"
Redemption of capital securities,1,,"(1,488)",(20),,一,"(1,508)"
Transfers4,1,,,"2,475",,"(2,475)",1
Other movements,1,一,1,2,1,47,49
At 31 Dec 2019,"10,319","13,959","20,743","62,484",,"37,539","145,044"
At 31 Dec 2017,"10,160","10,177",,,,,
Impact on transition to IFRS 9,,,"22,107","23,903",59,"37,381","103,787"
At 1 Jan 2018,,,1,949,(59),1,890
Profit for the year,"10,160","10,177","22,107","24,852",1,"37,381","104,677"
Other comprehensive income (net of tax),,,,"52,825",1,,"52,825"
- changes in fair value of financial liabilities designated at fair value,,,,865,,,865
due to movement in own credit risk,,,,,,,
Total comprehensive income for the year,,,,865,,,865
Shares issued under employee share plans,1,一,,"53,690",,,"53,690"
Shares issued in lieu of dividends and amounts arising thereon,42,679,,,,,721
Cancellation of shares,83,(83),1,"1,494",,1,"1,494"
Capital securities issued,(105),"2,836",一,"(4,998)",,269,"(1,998)"
Dividends to shareholders,1,一,"5,967",,,1,"5,967"
Redemption of capital securities,一,,一,"(11,547)",,一,"(11,547)"
Transfers4,一,一,"(5,843)",(236),1,1,"(6,079)"
Other movements,1,,一 1,"(2,200)",,"2,200",一
At 31 Dec 2018,"10,180","1 13,609","22,231","379 61,434",1 一,"49 39,899","428 147,353"
