Subsidiaries,% of share class held by immediate parent company (or by the Group where this varies),Footnotes
Griffin International Limited,100.00,16
Grundstuecksgesellschaft Trinkausstrasse Kommanditgesellschaft,N/A,"0,38"
"Grupo Financiero HSBC, S. A. de C. V.",99.99,14
Guangdong Enping HSBC Rural Bank Company Limited,100.00,"10,39"
Guangzhou HSBC Real Estate Company Ltd,100.00,40
Hang Seng (Nominee) Limited,100.00,"(62.14),37"
Hang Seng Bank (China) Limited,100.00,"(62.14),41"
Hang Seng Bank (Trustee) Limited,100.00,"(62.14),37"
Hang Seng Bank Limited,62.14,37
Hang Seng Bullion Company Limited,100.00,"(62.14),37"
Hang Seng Credit Limited,100.00,"(62.14),37"
Hang Seng Data Services Limited,100.00,"(62.14),37"
Hang Seng Finance Limited,100.00,"(62.14),37"
Hang Seng Financial Information Limited,100.00,"(62.14),37"
Hang Seng Indexes (Netherlands) B.V.,100.00,"(62.14),42"
Hang Seng Indexes Company Limited,100.00,"(62.14),37"
Hang Seng Insurance Company Limited,100.00,"(62.14),37"
Hang Seng Investment Management Limited,100.00,"(62.14),37"
Hang Seng Investment Services Limited,100.00,"(62.14),37"
Hang Seng Life Limited,100.00,"(62.14),37"
Hang Seng Real Estate Management Limited,100.00,"(62.14),37"
Hang Seng Securities Limited,100.00,"(62.14),37"
Hang Seng Security Management Limited,100.00,"(62.14),37"
Haseba Investment Company Limited,100.00,"(62.14),37"
HFC Bank Limited (In Liquidation),100.00,17
High Time Investments Limited,100.00,"(62.14),37"
Honey Green Enterprises Ltd.,100.00,43
Honey Grey Enterprises Limited,100.00,44
Honey Silver Enterprises Limited,100.00,44
Household International Europe Limited (In Liquidation),100.00,17
Household Pooling Corporation,100.00,45
Housing (USA) LLP,N/A,
HSBC (BGF) Investments Limited,100.00,16
HSBC (General Partner) Limited,100.00,"2,47"
HSBC (Guernsey) GP PCC Limited,100.00,20
HSBC (Kuala Lumpur) Nominees Sdn Bhd,100.00,48
HSBC (Malaysia) Trustee Berhad,100.00,49
HSBC (Singapore) Nominees Pte Ltd,100.00,50
HSBC Agency (India) Private Limited,100.00,51
HSBC Alternative Credit Strategies General Partner S.a r.l.,N/A,"0,52"
HSBC Alternative Investments Limited,100.00,16
HSBC Amanah Malaysia Berhad,100.00,48
HSBC Americas Corporation (Delaware),100.00,13
HSBC Argentina Holdings S.A.,100.00,53
HSBC Asia Holdings B.V.,100.00,16
HSBC Asia Holdings Limited,100.00,"2,44"
HSBC Asia Pacific Holdings (UK) Limited,100.00,16
HSBC Asset Finance (UK) Limited,100.00,16
HSBC Asset Finance M.O.G. Holdings (UK) Limited,100.00,16
HSBC Asset Management (India) Private Limited,100.00,54
HSBC Assurances Vie (France),100.00,"(99.99),55"
HSBC Australia Holdings Pty Limited,100.00,56
HSBC BANK (CHILE),100.00,57
HSBC Bank (China) Company Limited,100.00,"10,58"
HSBC Bank (General Partner) Limited,100.00,47
HSBC Bank (Mauritius) Limited,100.00,59
HSBC Bank (RR) (Limited Liability Company),N/A,"0,11,60"
HSBC Bank (Singapore) Limited,100.00,50
HSBC Bank (Taiwan) Limited,100.00,61
HSBC Bank (Uruguay) S.A.,100.00,62
HSBC Bank (Vietnam) Ltd.,100.00,63
HSBC Bank A.S.,100.00,64
