Up to 1 year,1 to 5 years,5 to 10 years,Over 10 years,Amount,Amount,Amount,Amount,Yield,Yield,Yield,Yield
Debt securities measured at fair value through other comprehensive income,US Treasury,"6,596","22,945","15,618","4,195",,1.2,1.6,1.5,2.3,
Debt securities measured at fair value through other comprehensive income,US Government agencies,95,43,"12,608",,1.8,2.8,2.5,1.8,,
Debt securities measured at fair value through other comprehensive income,US Government-sponsored agencies,30,789,"2,988","4,968",,2.8,2.2,2.5,1.8,
Debt securities measured at fair value through other comprehensive income,UK Government,"2,765","5,126","6,220","4,910",,1.5,0.8,0.2,2.3,
Debt securities measured at fair value through other comprehensive income,Hong Kong Government,84,247,167,"4,910",,1.6,1.6,1.8,,
Debt securities measured at fair value through other comprehensive income,Other governments,"51,507","62,587",1,"2,089",,1.7,2.3,1.6,4.3,
Debt securities measured at fair value through other comprehensive income,Asset-backed securities,18,93,399,"2,199",,2.9,1.4,1.8,1.2,
Debt securities measured at fair value through other comprehensive income,Corporate debt and other securities,"10,831","35,615","7,169","2,583",,2.1,1.4,1.8,3.4,
Debt securities measured at fair value through other comprehensive income,Total amortised cost at 31 Dec 2020,"71,831","127,497","40,788","33,552",,,,,,
Debt securities measured at fair value through other comprehensive income,Total carrying value,"72,250","131,859","42,168","35,190",,,,,,
Debt securities measured at amortised cost,US Treasury,"3,769","4,618","3,003",969,,0.1,1.6,2.0,2.8,
Debt securities measured at amortised cost,US Government agencies,9,13,"7,084",,,,2.5,,,
Debt securities measured at amortised cost,US Government-sponsored agencies,110,258,436,"1,112",,2.5,2.7,2.2,3.3,
Debt securities measured at amortised cost,Hong Kong Government,13,23,118,12,,3.0,1.6,2.6,4.8,
Debt securities measured at amortised cost,Other governments,179,370,426,"1,011",,3.4,4.1,3.8,4.2,
Debt securities measured at amortised cost,Asset-backed securities,,,,2,,,,,6.0,
Debt securities measured at amortised cost,Corporate debt and other securities,"2,064","11,221","15,441","24,621",,3.3,3.4,3.4,3.8,
Debt securities measured at amortised cost,Total amortised cost at 31 Dec 2020,"6,135","16,499","19,437","34,811",,,,,,
Debt securities measured at amortised cost,Total carrying value,"6,135","16,497","19,439","34,812",,,,,,
