,With Unit-linked,Shareholder assets and,Shareholder assets and,Shareholder assets and,Shareholder assets and
,With Unit-linked,DPF $m,contracts² $m,Other liabilities $m,Total $m
Financial assets,Footnotes,"84,478 8,802","18,932","8,915","$m 121,127"
-tradingassets,,1,1 1,1,1
financial assets designated and otherwise mandatorily measured at fair,,,,,
value through profit or loss,,"26,002 8,558","3,508","1,485","39,553"
-derivatives,,262,3 13,3,281
- financial investments at amortised cost,"39,891",30,"13,984","4,521","58,426"
-financial investments at fair value through other comprehensive income - other financial assets,"12,531",一 211,459,"1,931","14,921"
Reinsurance assets,3,"5,792",968,975,"7,946"
,,"2,256 65","1,447",2,"3,770"
PVIF,4,1 二,二,"9,435","9,435"
Other assets and investment properties,,"2,628",1 227,721,"3,577"
Total assets,"89,362","8,868","20,606","19,073","137,909"
Liabilities under investment contracts designated at fair value,,"二 2,285","4,100",二,"6,385"
Liabilities under insurance contracts,"84,931","6,503","15,827",二,"107,261"
Deferred tax,5,145 5,25,"1,400","1,575"
Other liabilities,,二,二 二,"7,244","7,244"
Total liabilities,"85,076","8,793","19,952","8,644","122,465"
Total equity Total liabilities and equity at 31 Dec 2020,"85,076","二 二 8,793","二 19,952","15,444 24,088","15,444 137,909"
