Notes*,31 Dec 2020,31 Dec 2020,31 Dec 2019,31 Dec 2019
Assets,Cash and balances with HSBC undertakings,"2,913","2,913","2,382"
Assets,Financial assets with HSBC undertakings designated and otherwise mandatorily measured at fair value,"65,253","65,253","61,964"
Assets,Derivatives,15,"4,698",15
Assets,Loans and advances to HSBC undertakings,"10,443","10,443","10,218"
Assets,Financial investments,"17,485","17,485","16,106"
Assets,"Prepayments, accrued income and other assets","1,445","1,445",
Assets,Current tax assets,-,-,203
Assets,Investments in subsidiaries,"160,660","160,660","161,473"
Assets,Intangible assets,276,276,333
Assets,Total assets at 31 Dec,"263,173","263,173","255,240"
Liabilities and equity,Liabilities,Amounts owed to HSBC undertakings,330,
Liabilities,Financial liabilities designated at fair value,24,"25,664",24
Liabilities,Derivatives,15,"3,060",15
Liabilities,Debt securities in issue,25,"64,029",
Liabilities,"Accruals, deferred income and other liabilities","4,865","4,865","1,915"
Liabilities,Subordinated liabilities,28,"17,916",
Liabilities,Current tax liabilities,71,71,-
Liabilities,Deferred tax liabilities,438,438,288
Liabilities,Total liabilities,"116,373","116,373","110,196"
Equity,Called up share capital,31,"10,347",
Equity,Share premium account,,"14,277","14,277"
Equity,Other equity instruments,,"22,414","22,414"
Equity,Merger and other reserves,,"34,757","34,757"
Equity,Retained earnings,,"65,005","65,005"
Equity,Total equity,,"146,800","146,800"
Equity,Total liabilities and equity at 31 Dec,,"263,173","263,173"
