,Non-credit impaired,Non-credit impaired,Non-credit impaired,Credit impaired,Credit impaired,Credit impaired,Credit impaired,Credit impaired,Credit impaired,
,Stage 1 Gross,,Stage 2 Gross,,Stage 3 Gross,Gross,POCI,Gross,Total,
,carrying/ nominal amount,Allowance for ECL,carrying/ nominal amount,Allowance for ECL,carrying/ nominal amount,Allowance for ECL,carrying/ nominal amount,Allowance for ECL,carrying/ nominal amount,Allowance for ECL
At 1 Jan 2020 Transfers of financial instruments,"925,652",(867),"88,169","(1,103)","9,289","(3,906)",345,(99),"1,023,455","$m (5,975)"
Net remeasurement of ECL arising,"(113,217)",(493),"103,413",770,"9,804",(277),二,二,1,1
from transfer of stage,1,476,1,(603),1,(742),1,1,1,(869)
Net new and further lending/ repayments Change in risk parameters-credit,"10,451",(437),"(2,910)",141,"(3,350)",583,(48),(1),"4,143",286
quality,1,(261),1,"(2,349)",1,"(3,120)",1,(39),1,"(5,769)"
Changes to models used for ECL calculation,1,137,1,303,1,1,1,1,1,440
Assets written off,二,二,二,二,"(1,537)","1,537",(30),30,"(1,567)","1,567"
Credit-related modifications that resulted in derecognition,1,1,1,1,(23),7,1,1,(23),7
Foreign exchange and other,"18,219",(20),"7,990",(157),479,(123),12,(4),"26,700",(304)
At 31Dec 2020,"841,105","(1,465)","196,662","(2,998)","14,662","(6,041)",279,(113),"1,052,708","(10,617)"
ECLincome statement change for the period,,(85),,"(2,508)",,"(3,279)",,(40),,"(5,912)"
Recoveries,,,,,,,,,,46
Others,,,,,,,,,,(59)
Total ECL income statement change for the period,,,,,,,,,,"(5,925)"
