Footnotes,Due not more than 1 month,Due over 1 month but not more than 3 months,Due over 3 months but not more than 1 year,Due over 1 year but not more than 5 years,Due over 5 years,Total
Amounts owed to HSBC undertakings,-,330,-,-,-,330
Financial liabilities designated at fair value,70,1109,1412,9110,16104,27805
Derivatives,3085,-,2,-,-,3087
Debt securities in issue,135,760,3354,31567,37103,72919
Subordinated liabilities,82,156,726,7513,21552,30029
Other financial liabilities,3769,690,370,-,36,4865
Loan commitments,-,-,-,-,-,-
Financial guarantees,1,13787,-,-,-,13787
At 31 Dec 2020,20928,3045,5864,48190,74795,152822
Amounts owed to HSBC undertakings,-,464,-,-,-,464
Financial liabilities designated at fair value,88,168,784,14776,18184,34000
Derivatives,1838,-,-,105,78,2021
Debt securities in issue,128,244,1137,38690,25310,65509
Subordinated liabilities,1588,154,718,5743,21533,29736
Other financial liabilities,956,519,365,-,-,1840
Loan commitments,-,-,-,-,-,-
Financial guarantees,1,11061,-,-,-,11061
At 31 Dec 2019,15659,1549,3004,59314,65105,144631
