,2018,2018,2018,2018,2018,2018,2018,
,Europe,Asia,MENA $m,North America $m,Latin America $m,Intra-HSBC items $m,Total $m,
,Net interest income,,"$m 6,841","$m 16,108","1,763 607","3,521","2,020","236 30,489"
Net fee income,,"3,996","5,676","1,854",498,(11),"12,620",
Net income from financial instruments held for trading or managed on a fair value basis,,"3,942","4,134",285,736,(294),"9,531",
"Net income/(expense) from assets and liabilities of insurance businesses,including related derivatives, measured at fair value through profit and loss",,(789),(717),一,,一,"(1,488)",
Changes in fair value of other financial instruments mandatorily measured at fair value through profit or loss,,601,(26),(1),36,27,,
Other income/(expense) Net operating income before loan impairment,1,"3,113","3,609",33,586,"58 (237) (5,171)","695 1,933",
(charges)/recoveries and other credit risk provisions,2,"17,704","28,784","2,687","6,725","(5,182)","53,780",
Change in expected credit losses and other credit impairment (charges)/recoveries,,(609),(602),(209),(570),1,"(1,767)",
Net operating income Total operating expenses excluding impairment of,,"17,095 28,182","2,478","223 6,948","2,492","(5,182)","52,013",
goodwill and other intangible assets,"(17,912)","(12,449)","(1,357)","(6,151)","(1,935)","5,182","(34,622)",
Impairment of goodwill and other intangible assets,,(22),,,1,1,(37),
Operating profit/(loss),,"(839) 15,716","1,121",799,557,二,"17,354",
Share of profit inassociates and joint ventures,,"24 2,074",436,,2,1,"2,536",
Profit/(loss) before tax,,"(815) 17,790","1,557",799,559 %,,"19,890",
,,%,%,%,,,%,
Share of HSBC's profit before tax,,(4.1),89.5,7.8,2.8,,100.0,
Cost efficiency ratio,,101.3,43.3,50.5 91.4,63.2,,64.4,
Balance sheet data,,$m,$m,$m,,$m,$m,
Loans and advances to customers (net),"373,073","450,545","28,824","108,146","21,108",,"981,696",
Total assets,"1,150,235","1,047,636","57,455","390,410","51,923","(139,535) 二","2,558,124",
Customer accounts,"503,154","664,824","35,408","133,291","25,966",,"1,362,643",
Risk-weighted assets,3,"298,056","363,894","56,689","131,582","38,341","865,318",
