,2020 $m,2019,2018
Profit before tax,"8,777","$m 13,347","$m 19,890"
Adjustments for non-cash items:,,,
"Depreciation,amortisation and impairment","5,241","10,519","1,933"
Net gain from investing activities,(541),(399),(126)
Share of profits in associates and joint ventures,,"(2,354)","(2,536)"
"Gain on disposal of subsidiaries,businesses,associates and joint ventures","(1,597)",,
Change in expected credit losses gross of recoveries and other credit impairment charges,二,"(929) 3,012",二
Provisions including pensions,"9,096 1,164","2,423","2,280 1,944"
Share-based payment expense,433,478,450
Other non-cash items included in profit before tax,,"(2,297)",
Elimination of exchange differences1,(906),,"(1,303)"
Changes in operating assets and liabilities,"(25,749)","(3,742)","4,930"
Change in net trading securities and derivatives,"13,150","(18,910)",
Change in loans and advances to banks and customers,,"(53,760)","20,855"
Change in reverse repurchase agreements-non-trading,"(14,131) 9,950","(7,390)","(44,071)"
Change in financial assets designated and otherwise mandatorily measured at fair value,"(1,962)","(2,308)","(25,399)"
Change in other assets,,,"(1,515)"
Change in deposits by banks and customer accounts,"(19,610)","(21,863)","6,766"
Change in repurchase agreements-non-trading,"226,723","79,163","(5,745)"
Change in debt securities in issue,"(28,443)","(25,540)","35,882"
Change in financial liabilities designated at fair value,"(9,075)","19,268","18,806"
Change in other liabilities,"(6,630)","20,068","4,500"
Dividends received from associates,"20,323","23,124","(2,187)"
Contributions paid to defined benefit plans,761,633,910
Tax paid,(495),(533),(332)
Net cash from operating activities,"(4,259)","(2,267)","(3,417)"
Purchase of financial investments,"182,220","29,743","32,515"
Proceeds from the sale and maturity of financial investments,"(496,669)","(445,907)","(399,458)"
"Net cash flows from the purchase and sale of property,plant and equipment","476,990","413,186 (1,343)","386,056"
Net cash flows from purchase/(disposal) of customer and loan portfolios,"(1,446)",,"(1,196)"
Net investment in intangible assets,"1,362","1,118",(204)
"Net cash flow from acquisition and disposal of subsidiaries,businesses,associates and joint ventures","(2,064)","(2,289)","(1,848)"
Net cash from investing activities,"(603) (22,430)","(83） (35,318)",4
Issue of ordinary share capital and other equity instruments,"1,497",二,"(16,646)"
Cancellation of shares,二,"(1,000)","6,001"
Net sales/(purchases) of own shares for market-making and investment purposes,(181),141,"(1,998)"
Redemption of preference shares and other equity instruments,,,133
Subordinated loan capital repaid²,(398),1,"(6,078)"
Dividends paid to shareholders of the parent company and non-controling interests,"(3,538)","(4,210)","（4,077)"
Net cash from financing activities,"(2,023)","(9,773)","(10,762)"
Net increase/(decrease) in cash and cash equivalents,"(4,643)","(14,842)","(16,781)"
Cash and cash equivalents at 1 Jan,"155,147","(20,417) 312,911",（912)
Exchange differences in respect of cash and cash equivalents,"293,742 19,434","1,248","323,718"
Cash and cash equivalentsat 31 Dec,"468,323","293,742","（9,895) 312,911"
Cash and cash equivalents comprise:,,,
- cash and balances at central banks,"304,481","154,099","162,843"
- items in the course of collection from other banks,"4,094","4,956","5,787"
loansand advances to banks of one month or less,"51,788","41,626","39,460"
-reverse repurchase agreements with banks of one month or less,"65,086","65,370","74,702"
"-treasury bills,other bilsand certificates of deposit less than three months","30,023","20,132","21,685"
- cash collateral and net settlement accounts,"17,194","12,376","14,075"
-less: items in the course of transmission to other banks,"(4,343)","(4,817)","(5,641)"
Cash and cash equivalents at 31 Dec,"468,323","293,742","312,911"
