Remuneration components andobjectives Application,Remuneration components andobjectives Application
"Fixed pay Attract and retain employees by paying the role,skills and experience required for the business.","Fixed pay may include salary,fixed pay allowance,cash in lieu of pension and other cash allowances in accordance with local market practices.Thesepayelementsarebasedonpredetermined criteria,arenon-discretionary,are transparentand are not reduced based on performance. marketcompetitive payfor·Fixed payrepresents a higher proportion of total compensation for more junioremployees. Elementsoffixed pay maychangeto reflect an individual's position,roleor grade,costofliving in thecountry,individual skills,competencies,capabilitiesand experience."
Benefits Provided inaccordance with local market practice.,"Fixed pay is generally delivered in cashona monthly basis. ·Benefits mayinclude,butare notlimitedto,theprovisionofapension,medicalinsurance,lifeinsurance,healthassesment and relocation support."
"Annual incentive1 Incentivise and reward performance based on annual financial and non- financial measures consistent with the medium- to long-term strategy,stakeholder interests and adherence to HSBC Values. Deferral Alignment with the medium- to long-term strategy, stakeholder interestsandarecetForsetificodceithteUK'sdCunatiolsaadsregeeralyectt the HSBC Values.","·Allemployeesareeligible tobeconsideredforadiscretionaryvariablepayaward.Individualawardsaredeterminedagainst a balanced scorecard for performance in excess of that required to fulfil an employee's job description. Annualincentives representa higher proportionof totalcompensation formore senior employeesandwillbe more closely aligned to Group and business performance as seniority increases. Variable payawards forallGroup employes identifiedas Material Risk Takers (MRTs') under European Union Regulatory Technical Standard ('RTS') 604/2014 are limited to 200% of fixed pay.2 ·Award are generallypaid incashand shares.For MRTs,at least 50%of the awards are in shares and/or where required by regulations, in units linked to asset management funds. A portion of the annual incentive award may be deferred and vest over a period of three to eight years. AGroup-widedeferalapproach isapplicable toall employees.A portionof annual incentive awards abovea specified threshold is deferred in shares vesting annually over a three-year period with 33% vesting on the first and second anniversaries of grant and 34%onthe thirdanniversary.Localemployees in France are granted defered awards thatest 66% on the second anniversary and 34% on the third anniversary."
,"period isapplied for certain MRTs as follows: five years forindividuals identified ina risk-manager MRTrole under the PRAand FCAremuneration rules.This reflects the deferral period prescribed byboth the PRA andthe European Banking Authority for individuals performing key senior roles with the Group; or seven years forindividuals in PRA-designated senior management functions,being the deferal period mandated bythe PRA as reflecting the typical business cycle period. ·Individuals based outside the UK who have not been identified at the Group levelas an MRT,butwho are identified as MRTs under localregulations,are generallysubjecttoa tree-yeardeferal period.In Germany,adeferalperiodof upto eight years isapplied formembers ofthe localmanagement boardand individuals in managerial roles reporting into the management board.In Malta,a five-yeardeferalperiod isapplied forexecutive commitee members.InAustralia,local MRTs are subject toa four-year deferrl period in respect of deferrd cash awards.Local MRTs are also subject to the minimum deferral rates discussedabove,except in China(whereaminimum deferral rateof 50%isappliedfor the Chief Executive Offcer),Germany (wherea minimum deferral rateof60% is aplied for membersof thelocal management board and individuals in managerial roles reporting into the management board)and Oman (where a minimum deferal rate of 45% is applied). Where an employee is subjectto more thanone regulation,therequirementthat is specific to the sector and/or country in whichthe individualis working is appied,subjectto meeting the minimum requirementsapplicable under each regulation. All defered awardsare subject to malus provisions,subjecttocompliance with local laws.Awards granted to MRTs onor after1 January 2015 are also subject to clawback. HSBC operates ananti-hedging policy for allemployees,which prohibits employees from entering intoany personal"
"Deferral instruments Alignment with the medium- to long-term strategy,stakeholder interests and adherence to the HSBC Values.","hedging strategies in respect of HSBC securities. ·Generally,theunderlying instrument foralldeferredawards is HSBCshares toensurealignmentbetweenthe long-term interest of our employees and shareholders. ForGroupand local MRTs,excluding executive Directors where deferralis typicallintheformofsharesonly,aminimum of 50%of the defered awards isin HSBCsharesandthe balance is deferred intocash.Inaccordancewithlocalrgulatory requirements,forlocal MRTs in Braziland Oman 100%of the deferredamountis delivered in sharesorlinkedto the value of shares. For some employees in our asset management business, where required bythe regulations applicable to asset management entities within the Group,at least 50%ofthe deferred award is linked to fund units reflective of funds managed by those entities,with the remaining portion of deferrdawards being in the form of defered cash awards."
Remuneration components Application,Remuneration components Application
andobjectives Post-vesting retention period Ensure appropriate alignment with shareholders.,"·Variable payawards made in HSBC shares or linked to relevant fundunits granted to MRTsare generally subject toaone- yearretentionperiodpost-vesting.LocalMRTs(except thoseinBrazil,France,OmanandRussia)arealsogenerallubject to aone-yearretentionperiod post-vesting.ForlocalMRTs in Brazil,France and Russia,asix-month retentionperiod is applied. No retention period is applied for local MRTs in Oman. MRTs who are subjecttoafive-yeardeferralperiod,exceptseniormanagementorindividuals inPRA-andFCA-designated"
Buy-out awards Support recruitment of talent.,"senior management functions, have a six-month retention period applied to their awards. ·Buy-outawardsmay beofered if an individual holds anyoutstandingunvested awards thatare forfeited on resignation from the previous employer. ·The terms ofthe buy-out awards willnot be more generousthan the terms atachedto the awards forfeitedoncessationof"
Guaranteed variable remuneration Support recruitment of talent.,"employmentwith the previous employer. ·Guaranteedvariable remuneration is awarded in exceptiona circumstancesfornew hires,andislimited tothe individual's first year of employment only. ·Theexceptional circumstances where HSBC wouldofer guaranteed variable remuneration would typically involveacritical newhireand wouldalsodependonfactors such as theseniorityof the individual,whetherthe new hirecandidatehas any"
Severance payments Adhere to contractual agreements with involuntary leavers.,"competing offers and the timing of the hire during the performance year. ·Whereanindividual's employmentisterminated involuntarilyforgross misconductthen,subject tocompliancewith local laws,the Group's policy is notto make any severance payment in such cases.For such individuals,alloutstanding"
Severance payments Adhere to contractual agreements with involuntary leavers.,"unvested awardsare forfeited. ·Forothercasesof involuntary terminationofemployment the determinationofanyseverance willtake intoconsideration theperformanceof the individual,contractual noticeperiod,applicable locallawsandcircumstancesofthecase."
Severance payments Adhere to contractual agreements with involuntary leavers.,"·Generally,aloutstanding unvestedawards willnormally continue to vest in line with theapplicable vestingdates.Where relevant,anyperformanceconditions attchedtothe awards,and malus and clawback provisions,willremainapplicable to thoseawards."
Severance payments Adhere to contractual agreements with involuntary leavers.,·Severance amounts awarded to MRTsare notconsideredas variable payforthe purpose ofapplicationof thedeferal and variable paycap rules under the PRA and FCA remuneration rules where such amounts include: (i) payments of fixed remuneration thatwould have been payable during the notice and/orconsultation period;(i) statutoryseverancepayments;
Severance payments Adhere to contractual agreements with involuntary leavers.,(ii)payments determinedinaccordancewithanyapproachapplicableintherelevantjurisdictions;and(iv)paymentsmade to settle a potential or actual dispute.
