2020,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Funds under management,"1,686",126,477,-,"2,289"
Cards,"1,564",360,25,-,"1,949"
Broking income,862,61,616,-,"1,539"
Credit facilities,93,740,626,-,"1,459"
Account services,431,598,264,-,"1,293"
Underwriting,5,9,"1,002",(1),"1,015"
Global custody,189,22,723,-,934
Unit trusts,881,18,-,-,899
Remittances,77,313,288,(1),677
Imports/exports,-,417,160,-,577
Insurance agency commission,307,17,1,-,325
Other,"1,123",893,"2,369","(2,290)","2,095"
Fee income,"7,218","3,574","6,551","(2,292)","15,051"
Less: fee expense,"(1,810)",(349),"(3,284)","2,266","(3,177)"
Net fee income,"5,408","3,225","3,267",(26),"11,874"
