,2020,2019,2018
,$m,$m,$m
Profitbefore tax,"4,250","9,259","52,887"
Adjustments for non-cash items,442,"2,657","(46,878)"
"depreciation,amortisation and impairment/expected credit losses",87,72,70
-share-based payment expense,1,,1
-other non-cash items included in profit before tax1,354,"2,584","(46,948)"
Changes in operating assets and liabilities,,,
Change in loans to HSBC undertakings,(327),"41,471","7,293"
Change in financial assets with HSBC undertakings designated and otherwise mandatorily measured at fair value,"(3,289)","(38,451)","(7,305)"
Change in net trading securities and net derivatives,"(1,657)","(1,433)",758
Change in other assets,(633),(437),231
Change in financial investments,449,（70）,二
Change in debt securities in issue,"3,063","1,899","(1,094)"
Change in financial liabilities designated at fair value,"1,258","1,227",(740)
Change in other liabilities,"1,366",437,"(1,883)"
Tax received Net cash from operating activities,270,459,301
Purchase of financial investments,"5,192","17,018","3,570"
Proceeds from the saleand maturity of financial investments,"(11,652)","(19,293)",二
Net cash outflow from acquisition of or increase in stake of subsidiaries,"9,342","6,755",二
Repayment of capital from subsidiaries,"(2,558)","(3,721)","(8,992)"
Net investment in intangible assets,"1,516",二,"3,627"
Netcash from investing activities,(33),(44),(121)
Issue of ordinary share capital and other equity instruments,"(3,385)","(16,303)","(5,486)"
Redemption of other equity instruments,"1,846",500,"6,652"
Cancellation of shares,-,二,"(6,093)"
Subordinated loan capital repaid,二,"(1,006)","(1,998)"
Debt securities issued,"(1,500)","(4,107)","(1,972)"
Debt securities repaid,"15,951","10,817","19,513"
Dividends paid on ordinary shares,"(16,577)",二,"(1,025)"
Dividends paid to holders of other equity instruments,二,"(7,582)","(8,693)"
Net cash from financing activities,"(1,331)","(1,414)","(1,360)"
Net increase/(decrease) in cash and cash equivalents,"(1,611)","(2,792)","5,024"
Cash and cash equivalents at1 January,"196 5,980","(2,077)","3,108"
Cashand cash equivalents at 31 Dec,"6,176","8,057 5,980","4,949 8,057"
Cash and cash equivalents comprise:,,,
- cash at bank with HSBC undertakings,"2,913","2,382","3,509"
-loans and advances to banks of one month or less,249,102,"4,548"
treasury and other eligible bills,"3,014","3,496",1
