Fair value,,,,,Assets $m Liabilities $m Valuation techniques Key unobservable inputs,,,
Valuation,Valuation,inputs,Key unobservable,Full range,Full range of inputs,Lower,Higher,Full range of inputs
Assets Liabilities techniques $m $m,Assets Liabilities techniques $m $m,,Lower,Higher,,,,
Private equity including strategic investments,,,,,"Private equity including strategic investments 11,905 4 See below See below",,,
Asset-backed securities,,,,,,,,"1,834"
− collateralised loan/debt obligation,,,,,− collateralised loan/debt obligation 59 − Market proxy Prepayment rate,0%,9%,0%
− other ABSs Loans held for securitisation,,,,,"− other ABSs 1,775 − Market proxy Bid quotes",0,100,0
Market proxy Bid quotes,,,,,,,,
Structured notes,,,,,,,,"5,330"
− equity-linked notes,,,,,"− equity-linked notes − 4,069 Model – Option model Equity volatility",6%,115%,5%
− FX-linked notes,,,,,"− FX-linked notes − 608 Model – Option model Equity correlation (4)%,,88%",9%,93%,
− other,,,,,− other − 653 Model – Option model FX volatility,0%,36%,1%
Derivatives with monolines,,,,,Derivatives with monolines 68 − Model – Discounted cash flow Credit spread,2%,2%,0%
Other derivatives,,,,,,,,"2,602"
− interest rate derivatives,,,,,,,,"4,187"
securitisation swaps,,,,,securitisation swaps 285 707 Model – Discounted cash flow Prepayment rate,6%,6%,6%
long-dated swaptions,,,,,long-dated swaptions 529 370 Model – Option model IR volatility,6%,28%,8%
other,,,,,,,,
− FX derivatives,,,,,,,,"2,602"
FX options,,,,,FX options 152 194 Model – Option model FX volatility,0%,43%,1%
other,,,,,,,,
− equity derivatives,,,,,,,,"2,602"
long-dated single stock options,,,,,"long-dated single stock options 583 1,091 Model – Option model Equity volatility",0%,120%,0%
other,,,,,,,,
− credit derivatives,,,,,,,,"2,602"
other,,,,,,,,"3,891"
− structured certificates,,,,,"− structured certificates − − Model – Discounted cash flow Credit volatility − −,,,4%",4%,,
− repurchase agreements,,,,,"− repurchase agreements 872 128 Model – Discounted cash flow IR curve,0%,5%",1%,8%,
− other1,,,,,,,,
At 31 Dec,,,,,"At 31 Dec,,2020,""20,300"",""9,656""",,,
