FootnotesforNote37,FootnotesforNote37
Description of Shares,Description of Shares
0,"Where anentity is governedby voting rights,HSBCconsolidates whenitholds-directly orindirectly-thenecessaryvotingrights to pass resolutionsbythe governing body.Inall othercases, the assessmentofcontrolismore complexandrequires judgement of other factors,including having exposure to variability of returns,powertodirectrelevantactivities,andwhetherpower is heldasanagentorprincipal.HSBC'sconsolidationpolicyis described in Note1.2(a)."
1,Management has determined that these undertakings are excluded from consolidation in the Group accountsas these entities do not meet the definitionof subsidiaries inaccordance with IFRS.HSBC's consolidation policy is described in Note 1.2(a).
2,DirectlyheldbyHSBCHoldingsplc
3,PreferenceShares
4,Actions
5,RedeemablePreferenceShares
6,GmbH Anteil
7,LimitedandUnlimitedLiabilityShares
8,Non-ParticipatingVotingShares
9,Parts
10,RegisteredCapitalShares
11,RussianLimitedLiabilityCompanyShares
12,Stuckaktien
