Total outstanding,Of which: unvested,Of which: total outstanding deferred and retained exposed to ex post explicit and/or implicit adjustment,Total amount of amendment during the year due to ex post implicit adjustment,Total amount of amendment during the year due to ex post explicit adjustment,Total amount of deferred paid out in the financial year
Executive Directors,3.6,3.6,3.6,(5.4),
Senior management,27.4,27.4,27.4,(12.7),
Investment banking,195.0,195.0,195.0,(90.5),
Retail banking,41.9,41.9,41.9,(22.6),
Asset management,8.1,8.1,8.1,一,1
Corporate functions,35.0,35.0,35.0,二,二
Independent control functions,23.6,23.6,23.6,二,二
All other,30.2,30.2,30.2,1,1
Shares,,,,,
Executive Directors,9.7,9.1,9.7,(5.4),
Senior management,25.7,22.4,25.7,(12.7),一
Investment banking,183.3,146.0,183.3,(90.5),
Retail banking,45.9,38.1 4.2,45.9,(22.6),一
Asset management,5.6,,5.6,(2.7),一
Corporate functions,39.5,31.5,39.5,(19.6),1
Independent control functions,28.8,26.2,28.8,(14.5),二
All other,35.2,27.7,35.2,(17.4),一
Other forms,,,,,
Executive Directors,二,二,,二,
Senior management,二,二,二,二,
Investment banking,二,二 1,二 一,二 1,1
Retail banking,1,5.6,7.0,0.3,二
Asset management,7.0,0.7,0.8,0.1,1
Corporate functions,0.8 0.2,0.1,0.2,二,二
Independent control functions,,,,,1
All other,1,1,1,1,
