,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit,Present value of Fair value of plan defined benefit
,assets,assets,obligations,obligations,Effect of the asset ceiling,Effect of the asset ceiling,Net defined benefit asset/(liability),Net defined benefit asset/(liability)
,Principal1 plan,Other plans,Principal1 plan,Other plans,Principal1 plan,Other plans,Principal1 plan,Other plans
,$m,$m,$m,$m,$m,$m,$m,$m
At 1 Jan 2020,"37,874","9,693","(30,158)","(10,424)",二,(16),"7,716",(747)
Service cost,二,二,(68),(172),二,二,(68),(172)
- current service cost,1,1,(28),(184),1,1,(28),(184)
- past service cost and gains/(losses) from settlements,1,1,(40),12,1,1,(40),12
Net interest income/(cost) on the net defined benefit asset/ (liability),726,233,(575),(245),1,1,151,(12)
Remeasurement effcts recognised in other comprehensive income,"3,173",879,,,,,"1,055",306
- return on plan assets (excluding interest income),"3,173",692,"(2,118) 1",(547),1,(26),"3,173",692
-actuarial gains/(losses)2,1,,"(2,118)",1 (428),1,1 1,"(2,118)",(428)
-other changes,1,187,一,(119),1 1,(26),,42
Exchange differences,"1,446",249,"(1,100)",(387),二,(2),346,(140)
Benefits paid,"(1,148)",(652),"1,148",,,,1,75
Other movements4,,,,727,二,二,,
At 31Dec 2020,434,83,(134),58,1,1,300,141
,"42,505","10,485","(33,005)","(10,990)",1,(44),"9,500",(549)
At 1 Jan 2019,"34,074","8,725","(26,616)","(9,967)",,(35),"7,458","(1,277)"
Service cost,,,(64),(246),,一,(64),(246)
- current service cost,1,,(40),(183),,1,（40）,(183)
- past service cost and losses from settlements,一,1,(24),(63),一,1,(24),(63)
Net interest income/(cost) on the net defined benefit asset/ (liability),939,269,(728),(293),,1,211,(24)
Remeasurement effcts recognised in other comprehensive,,,,,,,,
income ：return on plan assets (excluding interest income),"2,205",867 870,"(2,548)",(521),,20,(343),366
-actuarial gains/(losses)23,"2,205",,"一 (2,548)",一,,1 一,"2,205 (2,548)",870 (507)
-other changes,,(3),,(507) (14),,20,,3
Exchange differences,"1,300",181,"(1,036)",(180),,(1),264,二
Benefits paid,"(1,014)",(620),"1,014",694,,二,1,74
,,,,,,,,360
Other movements4,370,271,(180),89,一,二,190,
At 31Dec 2019,"37,874","9,693","(30,158)","(10,424)",,(16),7.716,（747)
