Country,UK,US,Hong Kong,Mainland China,Canada,France,UAE,Mexico
GDP growth rate,2020: Annual average growth rate,(11.0),(4.1),(6.4),2.0,(6.1),(9.7),"(6.3),(9.7)"
GDP growth rate,2021: Annual average growth rate,4.9,3.8,4.3,7.8,5.0,5.9,"3.0,3.7"
GDP growth rate,2022: Annual average growth rate,3.1,2.9,2.9,5.3,3.1,2.9,"3.6,2.5"
GDP growth rate,2023: Annual average growth rate,2.4,2.4,2.6,5.2,2.4,2.2,"3.9,2.4"
GDP growth rate,5-year average,2.8,2.7,2.9,5.6,2.9,2.9,"3.4,2.6"
Unemployment rate,2020: Annual average rate,4.6,8.3,5.8,3.9,9.6,7.9,"3.1,5.4"
Unemployment rate,2021: Annual average rate,6.9,6.7,5.0,4.1,7.9,10.0,"2.7,5.3"
Unemployment rate,2022: Annual average rate,5.8,5.8,3.9,4.2,6.8,9.1,"2.6,4.7"
Unemployment rate,2023: Annual average rate,5.4,4.9,3.8,4.1,6.5,8.8,"2.7,4.5"
Unemployment rate,5-year average,5.6,5.3,4.0,4.0,6.8,9.0,"2.7,4.6"
House price growth,2020: Annual average growth rate,2.3,6.0,(0.8),2.3,5.7,4.4,"(11.6),5.5"
House price growth,2021: Annual average growth rate,(2.1),4.0,(2.2),4.7,2.1,(0.5),"(9.8),3.4"
House price growth,2022: Annual average growth rate,0.9,4.3,2.4,5.7,2.0,4.1,"(1.3),5.0"
House price growth,2023: Annual average growth rate,3.0,4.0,5.2,5.0,3.1,4.1,"2.6,4.6"
House price growth,5-year average,1.9,4.0,2.3,4.7,2.7,2.8,"—,4.2"
Short-term interest rate,2020: Annual average rate,0.3,0.7,1.2,3.2,0.8,(0.4),"1.0,5.7"
Short-term interest rate,2021: Annual average rate,0.1,0.3,1.0,2.9,0.5,(0.5),"0.8,4.5"
Short-term interest rate,2022: Annual average rate,0.1,0.3,1.1,3.0,0.6,(0.5),"0.8,4.7"
Short-term interest rate,2023: Annual average rate,0.1,0.4,1.2,3.1,0.8,(0.5),"0.9,5.2"
Short-term interest rate,5-year average,0.2,0.5,1.3,3.1,0.8,(0.5),"1.0,5.2"
Probability,,40,65,70,80,70,40,65
