Profit,2020,2019,2018
Profit attributable to the ordinary shareholders of the parent company,"3,898","5,969","12,608"
Impairment of goodwill and other intangible assets (net of tax),"1,036","7,349",—
Increase/(decrease) in PVIF (net of tax),(253),"(1,248)",(506)
"Profit attributable to the ordinary shareholders, excluding goodwill impairment and PVIF","4,681","12,070","12,102"
Significant items (net of tax) and UK bank levy,"2,402","2,251","2,590"
"Profit attributable to the ordinary shareholders, excluding goodwill impairment, PVIF, significant items and UK bank levy","7,083","14,321","14,692"
Equity,2020,2019,2018
Average total shareholders' equity,"189,719","189,035","186,979"
Effect of average preference shares and other equity instruments,"(22,326)","(23,614)","(23,496)"
Average ordinary shareholders' equity,"167,393","165,421","163,483"
"Effect of goodwill, PVIF and other intangibles (net of deferred tax)","(17,292)","(22,574)","(22,102)"
Average tangible equity,"150,101","142,847","141,381"
"Fair value of own debt, DVA and other adjustments",422,"1,032","2,439"
"Average tangible equity excluding fair value of own debt, DVA and other adjustments","150,523","143,879","143,820"
Ratio,2020,2019,2018
Return on average ordinary shareholders' equity,2.3,3.6,7.7
Return on average tangible equity,3.1,8.4,8.6
Return on average tangible equity excluding significant items and UK bank levy,4.7,10.0,10.2
