,% of share class held by immediate parent company (or by the Group where this,% of share class held by immediate parent company (or by the Group where this
Subsidiaries,varies),Footnotes
HSBC Nominees (Asing) Sdn Bhd,100.00,48
HSBC Nomines (Hong Kong) Limited,100.00,44
HSBC Nominees (New Zealand) Limited,100.00,116
HSBC Nominees (Tempatan) Sdn Bhd,100.00,48
HSBC North America Holdings Inc.,100.00,313
HSBC Operational Services GmbH,90.10 (89.49),"117 2,16"
HSBC Overseas Holdings (UK) Limited HSBC Overseas Investments Corporation (New,100.00,
York),100.00,118
HSBC Overseas Nominee(UK) Limited,100.00,16
HSBC Participaciones (Argentina)S.A,100.00 (99.99),53
HSBC PB Corporate Services 1 Limited,100.00,119
HSBC PB Services (Suisse) SA,100.00,120
HSBC Pension Trust (Ireland) DAC,100.00,121
"HSBC Pensiones, S.A.",100.00,14
HSBC PI Holdings (Maurtius)Limited,100.00,59
HSBC Portfoy Yonetimi A.S.,100.00,122
HSBC Preferential LP (UK),100.00,16
HSBC Private Bank (Luxembourg) S.A.,100.00,52
HSBC Private Bank (Suisse) SA,100.00,123
HSBC Private Bank (UK) Limited,100.00,16
HSBC Private Banking Holdings (Susse) SA,100.00,120
HSBC Private Banking Nominee 3(Jersey),,
Limited,100.00,124
HSBC Private Equity Investments (UK) Limited,100.00,16
HSBC Private Trustee (Hong Kong) Limited,100.00,44
HSBC Private Wealth Services (Canada) Inc.,100.00,109
HSBC Professional Services (India) Private,,
Limited,100.00,125
HSBC Property (UK) Limited,100.00,16
HSBC Property Funds (Holding) Limited,100.00,16
HSBC Provident Fund Trustee(Hong Kong) Limited,100.00,44
HSBC Qianhai Securities Limited,100.00 (51.00),"10,126"
HSBC Real Estate Leasing (France),100.00 （99.99),34
HSBC Realty Credit Corporation (USA),100.00,13
HSBC REGlO Fund General Partner S.a r.l.,100.00,52
HSBC REIM (France),100.00 (99.99),55
HSBC Retirement Benefits Trustee (UK) Limited,100.00,"1,2,16"
HSBC Retirement Services Limited,100.00,"1,16"
HSBC SavingsBank (Philippines) Inc.,99.99,127
HSBC Securities (Asia) Limited (In Liquidation),100.00,44
HSBC Securities (Canada) Inc.,100.00,98
HSBC Securities (Egypt) S.A.E.,100.00 (94.65),67
HSBC Securities (Japan) Limited,100.00,16
HSBC Securities (Singapore) Pte Limited,100.00,50
HSBC Securities (South Africa)(Pty) Limited,100.00,128
HSBCSecurities (Taiwan) Corporation Limited,100.00,129
HSBC Securities (USA) Inc.,100.00,13
HSBC Securitiesand Capital Markets (India),,
Private Limited,99.99,51
HSBC Securities Asia Nominees Limited (In Liquidation),100.00,44
HSBC Securities Brokers (Asia) Limited,100.00,44
HSBC Securities Investments (Asia) Limited,100.00,44
HSBC Securities Services (Bermuda) Limited,100.00,21
HSBC Securities Services (Guernsey) Limited,100.00,20
HSBC Securities Services (Ireland) DAC,100.00,121
HSBC Securities Services (Luxembourg) S.A.,100.00,52
HSBC Securities Services Holdings (Ireland),,
DAC,100.00,121
HSBC Securities Services Nominees Limited,100.00,44
HSBC Seguros de Retiro (Argentina) S.A.,100.00,（99.99) 53
HSBC Seguros de Vida (Argentina)S.A.,100.00 (（99.99),53
"HSBC Seguros,S.Ade C.V., Grupo Financiero",,
HSBC,100.00,(99.99) 3.14
HSBC Service Company Germany GmbH,100.00,（99.33) 130
HSBC Service Delivery (Polska) Sp. Z 0.0.,100.00,131
HSBC Services (France),,
,100.00,（99.99) 34
HSBC Services Japan Limited,100.00,132
