,Shareholding guidelines (number of shares),Share interests (number of shares)
Kathleen Casey (retired on 24 April 2020),"15,000","15,125"
Laura Cha,"15,000","16,200"
Henri de Castries,"15,000","19,251"
James Forese (appointed to the Board on1May 2020),"15,000","115,000"
Steven Guggenheimer (appointed to the Board on1May 2020),"15,000","15,000"
Irene Lee,"15,000","11,904"
JoséAntonio Meade Kuribrena,"15,000","15,000"
Heidi Miller,"15,000","15,700"
Eileen Murray (appointed to the Board on1July 2020),"15,000","75,000"
David Nish,"15,000","50,000"
Sir Jonathan Symonds (retired on18 February 2020),"15,000","43,821"
Jackson Tai,"15,000","66,515"
Mark Tucker,"15,000","307,352"
Pauline van der Meer Mohr,"15,000","15,000"
