,,,,,,,Of which:,Of which:
,Europe $m,Asia $m,MENA $m,North America $m,Latin America $m,Total $m,UK $m,Hong Kong $m
"Ondemand,overdrafts or revolving",,,,,,,,
<1year,"13,728","25,075",750,"5,793",263,"45,609","12,131","19,998"
1-2years,"6,373","18,396",119,"3,112",434,"28,434","4,991","13,237"
2-5 years,"6,241","27,699",668,"2,288",927,"37,823","3,135","21,694"
>5years,"2,961","3,829",296,315,266,"7,667","1,215","2,929"
At31Dec 2020,"29,303","74,999","1,833","11,508","1,890","119,533","21,472","57,858"
"On demand,overdrafts or revolving",,,,,,,,
<1year,"13,808","21,625",816,"5,905",135,"42,289","11,775","16,937"
1-2 years,"6,197","17,638",142,"1,548",107,"25,632","5,274","13,776"
2-5years,"7,797","35,557",509,"3,511","1,332","48,706 7,953",4347 458,"27,860"
>5years,"2,319","4,706",266,515,147,"124,580","21,854","3,772"
At31Dec 2019,"30,121","79,526","1,733","11,479","1,721",,,"62,345"
