,Gross carrying,Of which:,Of which:,Of which:,Of which:,Of which:,Of which:
,Gross carrying,stage 3 and,Allowance for ECL,Of which: stage 3 and POCI,Change in,,
,Gross carrying,amount,POCI $m,$m,ECL,Write-offs,Recoveries
First lien residential mortgages,"$m 352,282","3,383",(755),$m,$m (259),$m,$m
Other personal lending,"108,527","2,228","(3,976)","(442) (1,060)","(2,363)","(92) (1,315)",35 245
Personal lending,"460,809","5,611","(4,731)","(1,502)","(2,622)","(1,407)",280
"-agriculture,forestry and fishing","7,445",332,(207),(150),(28),(3),1
-miningand quarrying,"11,947",813,(365),(220),(513),(311),
-manufacturing,"93,906","2,163","(1,588)",(945),(652),(375),7
"- electricity, gas,steam and air-conditioning supply","16,200",53,(73),(8),(7),(14),
"water supply,sewerage,waste management and remediation","3,174",47,(37),(22),(8),1,
- construction,"14,600",777,(590),(430),(151),(135),13
"- wholesale and retail trade,repair of motor vehicles and motorcycles","90,663","3,208","(2,532)","(2,032)","(1,560)",(280),11
- transportation and storage,"29,433",780,(493),(240),(308),(62),1
accommodation and food,"26,071",537,(491),(130),(365),(28),
"- publishing,audiovisual and broadcasting",19.979,164,(189),(59),(94),(2),
- real estate,"127,027","1,908","(1,167)",(738),(424),(47),4
"professional,ientificandtechnicalciiies","24,072",531,(398),(193),(219),(36),
-administrative and support services,"26,423",977,(534),(315),(298),(61),
"public administration and defence,compulsory social security","2,008",3,(14),(1),(5),1,
-education,"2,122",29,(41),(9),(26),(6),1
-health and care,"5,510",269,(186),(120),(127),(2),1
"-arts,entertainment and recreation","3,437",236,(158),(87),(170),(2),
- other services,"13,110",410,(408),(249),(360),(168),4
- activities of households,802,1,(1),1,1,1,
-extra-teritorial organisations and bodies activities,10,1,1,1,1,1,1
-government,"8,538",1,(9),(1),2,(5),
-asset-backed securities,611,1,(13),1,1,1,1
Corporate and commercial,"527,088","13,238","(9,494)","(5,949)","(5,311)","(1,537)",44
Non-bank financial institutions,"64,580",523,(265),(100),(146),(30),2
Wholesale lending,"591,668","13,761","(9,759)","(6,049)","(5,457)","(1,567)",46
Loans and advances to customers,"1,052,477","19,372","(14,490)","(7,551)","(8,079)","(2,974)",326
Loans and advances to banks,"81,658",二,(42),二,(23),二,二
At 31 Dec 2020,"1,134,135","19,372","(14,532)","(7,551)","(8,102)","(2,974)",326
