,2020 Footnotes,,2019 $,2018 $,2017,2016
,2020 Footnotes,,$,,$,$
Basic earnings per share,,0.19,0.30,0.63,0.48,0.07
Diluted earnings per share,,0.19,0.30,0.63,0.48,0.07
Dividends per ordinary share,3,-,0.51,0.51,0.51,0.51
,,%,%,%,%,%
Dividend payout ratio,4,-,172.2,81.0,106.3,728.6
Post-tax return on average total assets,,0.2,0.3,0.6,0.5,0.1
Return on average ordinary shareholders' equity,,2.3,3.6,7.7,5.9,0.8
Return on average tangible equity,,3.1,8.4,8.6,6.8,2.6
Effective tax rate,,30.5,34.8,24.5,30.8,51.5
