Footnotes,"2020 Amortised cost,$m","2020 Fair value,$m","2019 Amortised cost,$m","2019 Fair value,$m"
US Treasury,"75,531","78,251","79,633","80,589"
US Government agencies,"19,851","20,320","26,356","26,387"
US Government-sponsored entities,"10,691","11,224","8,070","8,259"
UK Government,"28,094","28,754","28,621","28,973"
Hong Kong Government,"55,483","55,507","47,824","47,820"
Other governments,"178,091","180,881","140,510","142,511"
Asset-backed securities,"2,708","2,536","2,954","2,889"
Corporate debt and other securities,"110,015","118,960","101,750","107,364"
Equities,"1,410","2,337","1,241","1,913"
At 31 Dec,"481,874","498,770","436,959","446,705"
