Gross carrying/nominal amount,Stage 1,Stage 2,Stage 3,POCI,Total,Stage 1,Stage 2,Stage 3,POCI,Total
Loans and advances to customers at amortised cost,"869,920","163,185","19,095",277,"1,052,477","1,974","4,965","7,439",112,"14,490"
WPB,"442,641","25,694","5,753",—,"474,088",854,"2,458","1,590",—,"4,902"
CMB,"238,517","101,960","10,408",212,"351,097",917,"2,029","4,874",96,"7,916"
GBM,"187,564","35,461","2,934",65,"226,024",203,465,975,16,"1,659"
Corporate Centre,"1,198",70,—,—,"1,268",—,—,—,—,13
Loans and advances to banks at amortised cost,"79,654","2,004",—,—,"81,658",33,9,—,—,42
WPB,"16,837",519,—,—,"17,356",2,2,—,—,4
CMB,"12,253",222,—,—,"12,475",2,—,—,—,2
GBM,"33,361","1,166",—,—,"34,527",23,7,—,—,30
Corporate Centre,"17,203",97,—,—,"17,300",6,—,—,—,6
Other financial assets measured at amortised cost,"768,216","3,975",177,40,"772,408",80,44,42,9,175
WPB,"167,053","1,547",50,39,"168,689",41,22,7,9,79
CMB,"111,299","1,716",65,1,"113,081",17,19,25,—,61
GBM,"391,967",705,56,—,"392,728",22,3,10,—,35
Corporate Centre,"97,897",7,6,—,"97,910",—,—,—,—,—
Total gross carrying amount on-balance sheet at 31 Dec 2020,"1,717,790","169,164","19,272",317,"1,906,543","2,087","5,018","7,481",121,"14,707"
Loans and other credit-related commitments,"604,485","54,217","1,080",1,"659,783",290,365,78,1,734
WPB,"232,027","2,591",136,—,"234,754",41,2,—,—,43
CMB,"111,800","29,150",779,1,"141,730",157,203,72,1,433
GBM,"260,527","22,476",165,—,"283,168",92,160,6,—,258
Corporate Centre,131,—,—,—,131,—,—,—,—,—
Financial guarantees,"14,090","4,024",269,1,"18,384",37,62,26,—,125
WPB,"1,048",23,2,—,"1,073",—,—,—,—,—
CMB,"5,556","2,519",146,1,"8,222",19,36,12,—,67
GBM,"7,482","1,482",121,—,"9,085",17,26,14,—,57
Corporate Centre,4,—,—,—,4,1,—,—,—,1
Total nominal amount off-balance sheet at 31 Dec 2020,"618,575","58,241","1,349",2,"678,167",327,427,104,1,859
WPB,"159,988",625,154,39,"160,806",27,10,15,8,60
CMB,"95,182",313,51,10,"95,556",22,3,2,2,29
GBM,"136,909",126,93,—,"137,128",24,1,3,—,28
Corporate Centre,"5,838",389,—,—,"6,227",17,6,1,—,24
Debt instruments measured at FVOCI at 31 Dec 2020,"397,917","1,453",298,49,"399,717",90,20,21,10,141
