Due not more than 1 month,Due over 1 month but not more than 3 months,Due over 3 months but not more than 6 months,Due over 6 months but not more than 9 months,Due over 9 months but not more than 1 year,Due over 1 year but not more than 2 years,Due over 2 years but not more than 5 years,Due over 5 years,Total
18,057,16,848,20,314,15,208,"7,561,20,768,49,948,59,911,208,615"
4,048,8,440,9,977,6,186,"2,945,1,474,1,454,1,546,36,070"
9,625,3,363,3,915,4,684,"2,005,9,295,35,834,49,209,117,930"
2,075,1,539,1,451,1,242,"1,241,3,702,4,979,6,765,22,994"
0,000,0,000,28,000,0,000,"750,2,514,3,917,0,000,7,209"
1,094,0,000,0,000,0,000,"0,000,0,000,0,000,1,094"
19,000,119,171,45,000,41,000,"410,1,865,646,3,316"
1,196,3,387,4,772,3,051,"579,3,373,1,899,1,745,20,002"
618,0,000,237,0,000,12,000,"12,000,6,081,22,941,29,901"
618,0,000,237,0,000,12,000,"12,000,6,081,21,085,28,045"
0,000,0,000,0,000,0,000,"0,000,0,000,0,000,1,856,1,856"
18,675,16,848,20,551,15,208,"7,573,20,780,56,029,82,852,238,516"
