ECL of loans and advances to,Gross carrying amount,Reported ECL,Central scenario ECL,Upside scenario,Downside scenario ECL,Additional Downside scenario,
ECL of loans and advances to,Gross carrying amount,Reported ECL,Central scenario ECL,Upside scenario,Downside scenario ECL,Additional Downside scenario,ECL
customers at 31 December 2020²,$m,$m,$m,$m,,$m $m,
UK,,,,,,,
Mortgages,"146,478",197,182,172,205,221,
Credit cards,"7,869",857,774,589,904,"1,084",
Other,"9,164",897,795,471,"1,022","1,165",
Mexico,,,,,,,
Mortgages,"3,896",111,101,79,136,167,
Credit cards,"1,113",260,255,243,269,290,
Other,"2,549",436,428,411,451,491,
Hong Kong,,,,,,,
Mortgages,"89,943",二,二,二,二,二,
Credit cards,"7,422",266,259,247,277,405,
Other,"6,020",112,105,102,115,130,
UAE,,,,,,,
Mortgages,"1,889",66,63,53,73,78,
Credit cards,426,92,81,62,107,126,
Other,683,38,37,33,41,46,
France,,,,,,,
Mortgages,"24,565",68,68,68,69,70,
Other,"1,725",88,87,85,88,91,
US,,,,,,,
Mortgages,"15,399",41,39,38,41,53,
Credit cards,570,86,84,81,88,119,
Canada,,,,,,,
Mortgages,"22,454",31,30,29,31,36,
Credit cards,260,9,9,8,9,9,
Other,"1,775",22,21,20,24,28,
