,Grosscarrying/nominal amount,Grosscarrying/nominal amount,Grosscarrying/nominal amount,Grosscarrying/nominal amount,Grosscarrying/nominal amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL
,Stage 1,Stage 2,Stage 3,POCI,Total,Stage 1,Stage 2,Stage 3,POCI,Total
,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m
Loans and advances to customers at amortised cost,"869,920","163,185","19,095",277,"1,052,477","(1,974)","(4,965)","(7,439)",(112),"(14,490)"
-WPB,"442,641","25,694","5,753",1,"474,088",(854),"(2,458)","(1,590)",1,"(4,902)"
CMB,"238,517","101,960","10,408",212,"351,097",(917),"(2,029)","(4,874)",(96),"(7,916)"
-GBM,"187,564","35,461","2,934",65,"226,024",(203),(465),(975),(16),"(1,659)"
-Corporate Centre,"1,198",70,二,二,"1,268",1,(13),二,二,(13)
Loans and advances to banks at amortised cost,"79,654","2,004",二,1,"81,658",(33),（9),二,1,(42)
-WPB,"16,837 12,253",519,1,1,"17,356",(2),(2),1,1,(4)
1 CMB -GBM,"33,361","222 1,166",1,1,"12,475",(2),1,1,1,(2)
-Corporate Centre,"17,203",97,1 1,1,"34,527",(23),(7),1,1,(30)
Other financial assets measured at amortised cost,"768,216","3,975",177,1 40,"17,300 772,408",(6),1,1,二,(6)
-WPB,"167,053","1,547",50,39,"168,689",(80),(44),(42),（9),(175)
-CMB,"111,299","1,716",65,,,(41),(22),(7,（9),(79)
-GBM,"391,967",705,56,1,"113,081",(17),(19),(25),1,(61)
Corporate Centre,"97,897",7,6,1,"392,728",(22),(3),(10),1,(35)
Total gross carrying amount on-balance sheet at,,,,一,"97,910",一,1,一,,二
"31Dec 2020 1,717,790 169,164","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","19,272 317 1,906,543 (2,087) (5,018) (7,481)","(121) (14,707)",
Loans and other credit-related commitments -WPB,"604,485","54,217","1,080",1,"659,783",(290),(365),(78),(1),(734)
-CMB,"232,027 111,800","2,591 29,150",136 779,1,"234,754",(41),(2),1,1,(43)
-GBM,"260,527","22,476",165,1,"141,730",(157),(203),(72),(1),(433)
-Corporate Centre,131,一,1,1 1,"283,168",(92),(160),(6),1,(258)
Financial guarantees,"14,090","4,024",269,,131,二,二,二,1,二
-WPB,"1,048",,,1,"18,384",(37),(62),(26),,(125)
,"5,556",23,2,1,"1,073",1,1,1,1,1
-CMB,"7,482","2,519",146,1,"8,222",(19),(36),(12),1,(67)
-GBM,,"1,482",121,1,"9,085",(17),(26),(14),1,(57)
-Corporate Centre,4,一,1,1,4,(1),1,1,一,(1
Total nominal amount off-balance sheet at,"618,575","58,241","1,349",2,"678,167",(327),(427),(104),,
31Dec 2020,,,,,,,,,,(1) (859)
WPB,"159,988",625,154,39,"160,806",,(10）,,,
CMB,"95,182",313,51,10,"95,556",(27) (22),(3),(15) (2),(8) (2),(60) (29)
GBM,"136,909",126,93,1,"137,128",(24),(1),(3),,(28)
Corporate Centre,"5,838",389,一,1,"6,227",(17),(6),(1),1,(24)
Debt instruments measured at FVOCl at 31Dec 2020,"397,917 1,453",,298,49,"399,717",(90),(20),(21),(10),(141)
