,Gross carrying amount,Gross carrying amount,Gross carrying amount,Gross carrying amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL
,Stage 1 $m,Stage 2 $m,Stage 3 $m,POCI $m,Total $m,Stage 1 $m,Stage 2 $m,Stage 3 $m,POCI $m,Total $m
Corporate and commercial,"472,253","59,599",8.315,332,"540,499",(672),(920),"(3,747)",（99),"(5,438)"
"-agriculture,forestryand fishing","5,416","1,000",278,2,"6,696",(13),(29）,(139),(1,(182)
-mining and quarrying,"9,923","4,189",311,12,"14,435",(22),(70),(122),(12),(226)
-manufacturing,"88,138","14,525","1,581",136,"104,380",(143),(211),(806),(50),"(1,210)"
"- electricity, gas,steam and air- conditioning supply","13,479","1,386",175,,"15,040",(14),(41),(25),,(80)
"-water supply,sewerage,waste management and remediation","2,963",508,30,1,"3,501",(6),(4),(18),二,(28)
"construction - wholesale and retail trade,repair of","10,520","3,883",852,32,"15,287",(16),(49),(467),(32),(564)
motor vehicles and motorcycles,"83,151",9.897,"1,625",8,"94,681",(111),(137),(934),(2),"(1,184)"
- transportation and storage,"22,604","2,359",588,29,"25,580",(42),(37),(158),1,(237)
- accommodation and food,"20,109","4,284",262,1,"24,656",(37),(46),(62),(1),(146)
"- publishing,audiovisual and broadcasting","18,103","1,706",141,21,"19,971",(30),(23),(33）,(1),(87)
-realestate,"122,972","6,450","1,329",1,"130,752",(108),(97),(475),一,(680)
"professional,entificndicl activities","21,085","2,687",350,,,,,,,
：administrative and support services,"21,370","3,817",438,89,"24,122 25,714",(31) (33),(33) (58),(145) (179),,(209) (270)
"public administration and defence,",,,,,,,,,,
compulsory social security,"1,889",488,1,,2.377,(1),（7),1,,(8
-education,"1,700",184,16,,"1,900",(7,(5),(6),,(18)
-healthand care,"3,543",811,111,,"4,465",（9）,(20),(28),,(57)
"：arts,entertainment and recreation","2,537 13,143",257,30,,"2,824",(6),(8,(11),,(25)
other services activities of households,725,941,191,1,"14,276",(35),(31),(133),,(199)
:extra-territorial organisations and,,66,1,,791,,1,1,,1
bodies activities,2,1,1,,2,1,1,1,,1
-government,"8,159",147,7,,"8,313",(6),(2),(6),,(14)
- asset-backed securities,722,14,一,,736,(2,(12),1,,(14)
Non-bank financial institutions,"65,661","4,832",212,,"70,705",(42),(28),（90),,(160)
Loans and advances to banks,"67,769","1,450",二,一,"69,219",(14),(2),二,1,(16
At31Dec 2019,"605,683","65,881","8,527",332,"680,423",（728),(950),"(3,837)",(99),"(5,614)"
