At,31 Dec,31 Dec,31 Dec,31 Dec
Notes*,,2020,$m,2019
Assets,Cash and balances at central banks,"304,481","154,099",",,"
Items in the course of collection from other banks,"4,094","4,956",",",","
Hong Kong Government certificates of indebtedness,,"231,990","38,380",",,"
"Trading assets,11",,"254,271","231,990",
"Financial assets designated and otherwise mandatorily measured at fair value through profit or loss,14","45,553","43,627",",",","
"Derivatives,15","307,726","242,995",,
Loans and advances to banks,"81,616",,,"69,203,,,"
Loans and advances to customers,"1037,987",,,"1036,743,,,"
Reverse repurchase agreements – non-trading,"230,628","240,862",",",","
"Financial investments,16","490,693","443,312",",,",
"Prepayments, accrued income and other assets,22","156,412","136,680,,,",,
"Current tax assets,7","954,",,755,","
"Interests in associates and joint ventures,18","26,684","24,474",",",","
"Goodwill and intangible assets,21","20,443","20,163",",",","
"Deferred tax assets,7","4,483","4,632",",",","
Total assets,,"2984,164","2715,152",",,"
Liabilities and equity,,,,
Liabilities,Hong Kong currency notes in circulation,"40,420","38,380",",,"
Deposits by banks,"82,080","59,022",",",","
Customer accounts,"1642,780","1439,115",",",","
Repurchase agreements – non-trading,"111,901","140,344",",",","
Items in the course of transmission to other banks,"4,343","4,817",",",","
"Trading liabilities,23","75,266","83,170",",",","
"Financial liabilities designated at fair value,24","157,439","164,466",",",","
"Derivatives,15","303,001","239,497",,
"Debt securities in issue,25","95,492","104,555",",",","
"Accruals, deferred income and other liabilities,26","128,624","118,156,,,",,
"Current tax liabilities,7","690,",,"2,150",","
"Liabilities under insurance contracts,4","107,191","97,439",",",","
"Provisions,27","3,678","3,398",",",","
"Deferred tax liabilities,7","4,313","3,375",",",","
"Subordinated liabilities,28","21,951","24,600",",",","
Total liabilities,,"2779,169","2522,484",",,"
Equity,"Called up share capital,31","10,347","10,319,,,",
"Share premium account,31",,"14,277","13,959",","
Other equity instruments,"22,414","20,871",",",","
Other reserves,"8,833","2,127",",",","
Retained earnings,,"140,572","136,679",",,"
Total shareholders’ equity,,"196,443","183,955",",,"
Non-controlling interests,"8,552","8,713",",",","
Total equity,,"204,995","192,668",",,"
Total liabilities and equity,,"2984,164","2715,152",
