Provisions (excluding contractual commitments),Provisions (excluding contractual commitments),Provisions (excluding contractual commitments),Provisions (excluding contractual commitments),Provisions (excluding contractual commitments),Provisions (excluding contractual commitments)
At1 Jan 2019,130,"1,128",788,357,"2,403"
Additions,402,282,"1,674",223,"2,581"
Amounts utilised,(203),(660),(837),(81),"(1,781)"
Unused amounts reversed,(34),(158),（49),(108),(349)
Exchange and other movements,61,13,70,(111),33
At 31Dec 2019,356,605,"1,646",280,2.887
Contractual commitments1,,,,,
At 1 Jan 2019,,,,,517
Net change in expected credit loss provision and other,,,,,(6
movements,,,,,
At 31Dec 2019,,,,,511
Total provisions,,,,,
At 31Dec 2018,,,,,"2,920"
At 31Dec 2019,,,,,"3,398"
