Management view of adjusted revenue,2020,2019,2018,2020 vs 2019,$m,%,
Retail Banking,"12,938","15,655","14,746","(2,717)",(17),,
net interest income,"11,708","13,993","13,155","(2,285)",(16),,
non-interest income,"1,230","1,662","1,591",(432),(26),,
Wealth Management,"7,818","8,633","7,778",(815),(9),,
investment distribution,"3,209","3,268","3,333",(59),(2),,
life insurance manufacturing,"1,816","2,464","1,621",(648),(26),,
Global Private Banking,"1,746","1,878","1,783",(132),(7),,
net interest income,670,891,884,(221),(25),,
non-interest income,"1,076",987,899,89,9,,
asset management,"1,047","1,023","1,041",24,2,,
Other,429,788,512,(359),(46),,
"Markets Treasury, HSBC Holdings interest expense and Argentina hyperinflation",828,489,515,339,69,,
Net operating income,"22,013","25,565","23,551","(3,552)",(14),,
