At 30 Sep,2020,$m,At 30 Sep,2019,$m
Cash and balances at central banks,"121,987","112,239",,,
Loans and advances to banks and other financial institutions,"107,334","108,026",,,
Loans and advances to customers,"870,728","730,510",,,
Other financial assets,"508,328","435,740",,,
Other assets,"44,622","40,101",,,
Total assets,"1,652,999","1,426,616",,,
Deposits by banks and other financial institutions,"273,708","290,492",,,
Customer accounts,"1,012,732","868,627",,,
Other financial liabilities,"207,110","131,772",,,
Other liabilities,"31,105","23,074",,,
Total liabilities,"1,524,655","1,313,965",,,
Total equity,"128,344","112,651",,,
