Director/employees,Base salary/fees,2020 Benefits,Annual incentive
Executive Directors^1,,Noel Quinn^1,151.7%
Ewen Stevenson,2.6%,-25.0%,-58.4%
Non-executive Directors^2,,Kathleen Casey (retired on 24 April 2020),-65.0%
Laura Cha,97.0%,,
Henri de Castries,4.1%,-75.0%,
James Forese,,,
Steven Guggenheim,,,
Irene Lee,20.3%,-100.0%,
José Antonio Meade Kuribreña,28.7%,100.0%,
Heidi Miller,1.1%,-100.0%,
Eileen Murray,,,
David Nish,108.7%,-50.0%,
Sir Jonathan Symonds (retired on 18 February 2020),-86.5%,-4.8%,
Jackson Tai,-10.8%,-78.9%,
Mark Tucker,-,,-77.5%
Pauline van der Meer Mohr,17.7%,-75.0%,
Employee group^3,2.0%,2.3%,-20.0%
