Key assumption,Changes to key assumption to reduce headroom to nil
Long-term profit growth rate,Decrease by 22 basis points
Long-term asset growth rate,Increase by 20 basis points
Discount rate,Increase by 26 basis points
Expected credit losses as a percentage of customer advances,Increase by 3 basis points
Risk-weighted assets as a percentage of total assets,Increase by 136 basis points
Operating income growth rate,Decrease by 28 basis points
Cost-income ratio,Increase by 77 basis points
Long-term effective tax rate,Increase by 216 basis points
Capital requirements - capital adequacy ratio,Increase by 26 basis points
Capital requirements - tier 1 capital adequacy ratio,Increase by 90 basis points
