Footnotes,2020,2020,2020,2020,2020
Footnotes,Wealth and Personal,Commercial,Global Banking and Markets,Corporate Centre,Total
Footnotes,Banking $m,Banking $m,$m,$m,$m
Net operating income/(expense) before change in expected credit,,,,,
losses and other credit impairment charges 1,"22,013","13,312","15,303",(262),"50,366"
-external,"19,990","13,741","18,162","(1,527)","50,366"
- inter-segment of which:net interest income/(expense),"2,023","(429) 9,317","(2,859) 4,518","1,265 (1,326)",二
Change in expected credit losses and other credit impairment (charges)/,"15,090",,,,"27,599"
recoveries,"(2,855)","(4,754)","(1,209)",1,"(8,817)"
Net operating income/(expense),"19,158","8,558","14,094",(261),"41,549"
Total operating expenses Operating profit/(loss),"(15,024)","(6,689)","(9,264)",(482),"(31,459)"
Share of profit in associates and joint ventures,"4,134","1,869","4,830",(743),"10,090"
Adjusted profit before tax,6,(1),二,"2,054","2,059"
,"4,140","1,868 %","4,830","1,311","12,149"
Share of HSBC's adjusted profit before tax,%,,%,%,%
,34.1,15.4,39.7,10.8,100.0
Adjusted cost efficiency ratio,68.3,50.2,60.5,(184.0),62.5
Adjusted balance sheet data,$m,$m,$m,$m,$m
Loans and advances to customers (net),"469,186","343,182","224,364","1,255","1,037,987"
Interests in associates and joint ventures,447,14,143,"26,080","26,684"
Total external assets,"881,918","570,295","1,347,440","184,511","2,984,164"
Customer accounts,"834,759","470,428","336,983",610,"1,642,780"
