Footnotes,"At 1 Jan 2020, or date of appointment, if later","At 31 Dec 2020 or date of cessation, if earlier",Beneficial owner,Child under 18 or spouse,Jointly with another person,Trustee,Total interests
HSBC Holdings ordinary shares,,,,,,,
Kathleen Casey (retired on 24 April 2020),1,"15,125","15,125",,,,"15,125"
Laura Cha,,"16,200","16,200",1,,,"16,200"
Henri de Castries,,"19,251","19,251",1,1,,"19,251"
James Forese (appointed to the Board on 1 May 2020),1,1,"115,000",1,1,,"115,000"
Steven Guggenheim (appointed to the Board on 1 May 2020),1,4,"15,000",1,1,,"15,000"
Irene Lee,,"11,904","11,904",二,二 二,,"11,904"
José Antonio Meade Kuribreña,1,,"15,000",1,1,,"15,000"
Heidi Miller,1,,"15,700",一,1 1,,"15,700"
Eileen Murray (appointed to the Board on 1 July 2020),1,,"75,000",一,,,"75,000"
David Nish,,"43,821","50,000",1,一 1,,"50,000"
Noel Quinn,2,"441,925","778,958",1,1 1,,"778,958"
Ewen Stevenson,2,"233,972","545,731",1,1 1,,"545,731"
Sir Jonathan Symonds (retired on 18 February 2020),,"43,821","38,823","4,998",一 一,,"43,821"
Jackson Tai,1,"66,515","32,800","11,965",21,"750,,66,515",
Mark Tucker,,"307,352","307,352",二,一 一,,"307,352"
Pauline van der Meer Mohr,,"15,000","15,000",1,1,,"15,000"
