,Gross carrying/notional amount Allowance for,Gross carrying/notional amount Allowance for,Gross carrying/notional amount Allowance for,Gross carrying/notional amount Allowance for,Gross carrying/notional amount Allowance for,Gross carrying/notional amount Allowance for,Gross carrying/notional amount Allowance for,
,Strong,Good,Satisfactory,Sub- standard,,ECL/other credit,Net,
,$m,$m,$m,$m,Credit impaired $m,Total $m,provisions $m,
In-scope for IFRS 9,In-scope for IFRS 9,In-scope for IFRS 9,In-scope for IFRS 9,In-scope for IFRS 9,In-scope for IFRS 9,In-scope for IFRS 9,,
Loans and advances to customers,,,,,,,,
held at amortised cost,"524,889","258,402","228,485","20,007","13,692","1,045,475","(8,732)","1,036,743"
-personal,"354,461","45,037","27,636","2,286","4,851","434,271","(3,134)","431,137"
- corporate and commercial,"138,126","190,470","186,383","16,891","8,629","540,499","(5,438)","535,061"
- non-bank financial institutions,"32,302","22,895","14,466",830,212,"70,705",(160),"70,545"
Loans and advances to banks held at amortised cost,"60,636","5,329","1,859","1,395",,"69,219",(16),"69,203"
Cash and balances at central banks,"151,788","1,398",915,一,,"154,101",(2),"154,099"
Items in the course of collection from other banks,"4,935",18,3,,,"4,956",一,"4,956"
Hong Kong Government certificates of indebtedness,"38,380",一,一,一,,"38,380",,"38,380"
Reverse repurchase agreements -,,,,,,,,
non-trading Financial investments,"193,157 78,318","37,947 6,503","9,621 906",137 61,1 1,"240,862 85,788",1 (53),"240,862 85,735"
"Prepayments,accrued income and",,,,,,,,
other assets - endorsements and acceptances,"70,675 1,133","8,638 4,651","11,321 4,196",306 230,152 4,"91,092 10,214",(63),"91,029"
-accrued income and other,"69,542","3,987","7,125",76,148,"80,878",(16 (47),"10,198 80,831"
Debt instruments measured at fair,,,,,,,,
value through other comprehensive income1,"333,158","10,966","7,222",544,1,"351,891",(166),"351,725"
Out-of-scope for IFRS 9,,,,,,,,
Trading assets,"135,059","15,240","22,964","2,181",1,"175,444",1,"175,444"
Other financial assets designated and otherwise mandatorily,,,,,,,,
measured at fair value through profit or loss,"4,655","1,391","5,584",139,1,"11,769",,
Derivatives,"187,636","42,642","11,894",821,2,"242,995",一 1,"11,769 242,995"
Total gross carrying amount on balance sheet,,,,,,,,
Percentage of total credit quality,"1,783,286 70.9%","388,474 15.5%","300,774","25,591","13,847","2,511,972","(9,032)","2,502,940"
Loan and other credit-related,,,12.0%,1.0%,0.6%,100%,,
commitments,"369,424","146,988","77,499","5,338",780,"600,029",(329),"599,700"
Financial guarantees In-scope: Irrevocable loan,"7,441","6,033","5,539","1,011",190,"20,214",(48),"20,166"
commitments and financial,,,,,,,,
guarantees Loan and other credit-related,"376,865","153,021","83,038","6,349",970,"620,243",(377),"619,866"
commitments,"66,148","69,890",,,,,,
Performanceand other guarantees,"30,099","23,335","58,754","2,605",182,"197,579",1,"197,579"
Out-of-scope: Revocable loan,,,"20,062","2,057",380,"75,933",(132),"75,801"
commitments and non-financial,,,,,,,,
guarantees,"96,247","93,225","78,816","4,662",562,"273,512",(132),"273,380"
