,Total Gross carrying/,ECL,UK Gross carrying/,ECL,Hong Kong Gross carrying/,ECL
,nominal amount $m,coverage %,nominal amount $m,coverage %,nominal amount $m,coverage
Rated CRR/PD8,,,,,,%
Not collateralised,"3,787 1,107",7.1,924,8.7,103,25.2
Fully collateralised,,5.2,171,9.4,15,二
LTV ratio:,,,,,,
- less than 50%,,269,4.1,29,10.3,1 二
-51% to 75%,,480,6.3,87 6.9,1,1
-76% to 90%,,140,5.0,13,23.1,14 二
- 91% to 100%,218,4.1,42,9.5,1,二
Partially collateralised (A):,493,8.1,174,9.2,27,3.7
- collateral value on A,352,,83,,13,
Total,"5,387",6.8,"1,269",8.7,145,18.6
Rated CRR/PD9 to 10,,,,,,
Not collateralised,"8,062",49.7,"2,847",29.1,865,66.0
Fully collateralised,"2,003",18.1,585,7.9,388,11.6
LTV ratio:,,,,,,
- less than 50%,644,24.2,151,8.6,84,6.0
51% to 75% 1,538,18.8,182,12.6,139,5.0
76% to 90% 1,327,15.0,211,1.9,83,34.9
-91% to 100%,494,11.3,41,14.6,82,
Partially collateralised (B):,"2,851",35.6,553,23.1,592,4.9
- collateral value on B,"1,623",,337,,322,26.4
Total,,41.7,"3,985",25.2,,
At 31Dec 2020,"12,916 18,303",31.4,"5,254",21.2,"1,845 1,990",41.8
Rated CRR/PD8,,,,,,40.2
Not collateralised,"2,499",5.8,285,13.0,10,70.0
Fully collateralised,694,3.3,382,2.6,二,二
LTV ratio:,,,,,,
-less than 50%,246,2.8,120,1.7,,
- 51% to 75%,189,4.2,93,3.2,1,二
76% to 90%,97,2.1,42,2.4,一,二
-91% to 100%,162,3.7,127,3.9,二,一
Partially collateralised (A):,279,4.7,53,5.7,73,二
-collateral valueon A,152,,34,,6,2.7
Total,"3,472",5.2,720,6.9,83,
Rated CRR/PD9 to 10,,,,,,12.0
Not collateralised,"4,991",48.5,"1,930",34.1,510,82.5
Fully collateralised,"1,507",22.0,494,12.6,96,11.5
LTV ratio:,,,,,,
-less than 50%,338,35.2,103,17.5,10,二
-51% to 75%,377,22.8,198,8.6,30,3.3
-76% to 90%,373,23.6,101,20.8,,
-91% to 100%,419,,92,,40,7.5
,,9.1,,7.6,,16 二
Partially collateralised (B):,"1,464",44.0,427,17.6,119,58.8
- collateral value on B Total,"750 7,962",42.7,"211 2,851",27.9,64 725,69.2
At31Dec 2019,"11,434",31.3,"3,571",23.7,808,63.4
