,2020,2019,2018
Reported results ($m),net operating income before change in expected credit losses and other credit impairment charges ('revenue'),"50,429","56,098"
,Change in expected credit losses and other credit impairment charges,"-8,817","-2,756"
,net operating income,"41,612","53,342"
,total operating expenses,"-34,432","-42,349"
,operating profit,"7,180","10,993"
,Share of profit in associates and joint ventures,"1,597","2,354"
,,,
,Profit before tax,"8,777 (2,678)","13,347"
,tax expense,,"-4,639"
,Profit after tax,"6,099","8,708"
