Movement analysis of goodwil2020 2019$m $m,Movement analysis of goodwil2020 2019$m $m,Movement analysis of goodwil2020 2019$m $m,Movement analysis of goodwil2020 2019$m $m,,,
Movement analysis of goodwil2020 2019$m $m,Movement analysis of goodwil2020 2019$m $m,Movement analysis of goodwil2020 2019$m $m,Movement analysis of goodwil2020 2019$m $m,,2020$m,2019$m
Gross amount,Gross amount,,,,,
At 1 Jan,At 1 Jan,"22,084","22,180",,,
Exchange differences,Exchange differences,967,(154),,,
Other,Other,84,58,,,
At 31 Dec,At 31 Dec,"23,135",22.084,,,
Accumulated impairment losses,Accumulated impairment losses,,,,,
At 1 Jan,At 1 Jan,"(16,494) (9,194)","(16,494) (9,194)",,,
Impairment losses,Impairment losses,"(41) (7,349)","(41) (7,349)",,,
Exchange differences,Exchange differences,(719) 49,(719) 49,,,
At 31 Dec,At 31 Dec,"(17,254) (16,494)","(17,254) (16,494)",,,
Net carrying amount at 31 Dec,Net carrying amount at 31 Dec,"5,881 5,590","5,881 5,590",,,
