"Provisions (excluding contractual commitments),","Restructuring costs,","Legal proceedings and regulatory matters,","Customer remediation,","Other provisions,",Total
At 1 Jan 2020,356,605,"1,646",280,"2,887"
Additions,698,347,,189,222
Amounts utilised,322,177,,(739),-125
Unused amounts reversed,74,75,,"240 2,8",80
Exchange and other movements,13,56,,858,305
At 31 Dec 2020,671,756,,,
"Contractual commitments1,",,,,,
At 1 Jan 2020,,,,,
Net change in expected credit loss provision and other movements,,,,,
At 31 Dec 2020,,,,,
Total provisions,,,,,
At 31 Dec 2019,,,,,
At 31 Dec 2020,,,,,
