Called up share capital,Share premium,Other equity instruments,Retained earnings,Financial assets at FVOCI reserve,Merger and other reserves,Total shareholders' equity
At 1 Jan 2020,"10,319","13,959","20,743","62,484",-,"37,539,145,044"
Profit for the year,,,,"4,085",-,"-,4,085"
Other comprehensive income (net of tax),,,,176,-,"-,176"
changes in fair value of financial liabilities designated at fair value due to movement in own credit risk,,,,176,-,"-,176"
Total comprehensive income for the year,,,,"4,261",-,"-,4,261"
Shares issued under employee share plans,"28,318",,"2,540",,-,"(2,347),539"
Capital securities issued,,,"1,500",(15),-,"-,1,485"
Dividends to shareholders,,,,"(1,331)",-,"-,(1,331)"
Redemption of capital securities,,,,"(1,450)",-,"-,(1,450)"
Transfers,,,,435,-,"(435),-"
Other movements,,,171,"(1,919)",-,"-,(1,748)"
At 31 Dec 2020,"10,347","14,277","22,414","65,005",-,"34,757,146,800"
At 1 Jan 2019,"10,180","13,609","22,231","61,434",-,"39,899,147,353"
Profit for the year,,,,"9,041",-,"-,9,041"
Other comprehensive income (net of tax),,,,(396),-,"-,(396)"
changes in fair value of financial liabilities designated at fair value due to movement in own credit risk,,,,(396),-,"-,(396)"
Total comprehensive income for the year,,,,"8,645",-,"-,8,645"
Shares issued under employee share plans,"36,521",,(56),,-,"-,501"
Shares issued in lieu of dividends and amounts arising thereon,171,(171),,"2,687",-,"-,2,687"
Cancellation of shares,(68),,,"(1,000)",-,"68,(1,000)"
Capital securities issued,,,,-,-,"-,-"
Dividends to shareholders,,,,"(11,683)",-,"-,(11,683)"
Redemption of capital securities,,,,(20),-,"-,(1,508)"
Transfers,,,,"2,475",-,"(2,475),-"
Other movements,,,,2,-,"47,49"
At 31 Dec 2019,"10,319","13,959","20,743","62,484",-,"37,539,145,044"
At 31 Dec 2017,"10,160","10,177","22,107","23,903",59,"37,381,103,787"
Impact on transition to IFRS 9,,,,949,(59),"-,890"
At 1 Jan 2018,"10,160","10,177","22,107","24,852",-,"37,381,104,677"
Profit for the year,,,,"52,825",-,"-,52,825"
Other comprehensive income (net of tax),,,,865,-,"-,865"
changes in fair value of financial liabilities designated at fair value due to movement in own credit risk,,,,865,-,"-,865"
Total comprehensive income for the year,,,,"53,690",-,"-,53,690"
Shares issued under employee share plans,"42,679",,,,-,"-,721"
Shares issued in lieu of dividends and amounts arising thereon,83,(83),,"1,494",-,"-,1,494"
Cancellation of shares,(105),"2,836",,"(4,998)",-,"269,(1,998)"
Capital securities issued,,,"5,967",,-,"-,5,967"
Dividends to shareholders,,,,"(11,547)",-,"-,(11,547)"
Redemption of capital securities,,,,(236),-,"-,(6,079)"
Transfers,,,,"2,200",-,"2,200,-"
Other movements,,,,379,-,"49,428"
At 31 Dec 2018,"10,180","13,609","22,231","61,434",-,"39,899,147,353"
