-,Wealth and Personal Banking $m,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Reconciliation of reported and adjusted items (continued),2018,,,,
"Footnotes,$,m,$,m,$,m,$,m",,,,,
"Revenue,Reported","24,232","14,889","15,754","(1,095)","53,780"
Currency translation,(699),(475),(590),(90),-
Significant items,,,,(108),"(1,854)"
-,customer redress programmes,-,-,-,
-,"disposals, acquisitions and investment in new businesses",2,-,111,113
-,fair value movements on financial instruments,2,9,(112),"187,100"
-,currency translation on significant items,,4,4,12
Significant items,18,(40),-,302,172
Reported,-,,,,
Currency translation,,,,,
Adjusted,,,,,
ECL,,,,,
Reported,"(1,163)",(737),26,107,"(1,767)"
Currency translation,91,54,8,6,147
Adjusted,"(1,072)",(683),34,101,"(1,620)"
Operating expenses,"(15,522)","(6,563)","(9,512)",,
Reported,-,,,,
Currency translation,,,,,
Significant items,,,,,
-,costs of structural reform,2,8,41,361
-,customer redress programmes,172,(5),(21),146
-,"- disposals, acquisitions and investment in new businesses",52,-,-,52
-,past service costs of guaranteed minimum pension benefits equalisation,,-,228,228
-,restructuring and other related costs,7,-,-,59
-,settlements and provisions in connection with legal and regulatory matters,58,-,(132),890
-,- currency translation on significant items,(8),(2),4,7
Adjusted,"(14,614)","(6,307)","(9,316)","(1,486)",
Share of profit in associates and joint ventures,,,,,
Reported,33,-,-,"2,503",-
Currency translation,(1),-,-,(91),-
Adjusted,32,-,-,"2,412",
Profit/(loss) before tax,,,,,
Reported,"7,580","7,589","6,268","(1,547)","19,890"
Currency translation,16,(166),(278),(91),-
Significant items,301,(39),(216),(91),(519)
-,revenue,18,(40),(108),"302,172"
-,operating expenses,283,1,(108),"1,480"
Adjusted,"7,897","7,384","5,774",144,"21,199"
"Loans and advances to customers (net),Reported","401,268","333,400","245,525",,
Currency translation,"17,963","11,455","7,794",96,"37,308"
Adjusted,"419,231","344,855","253,319",,
Customer accounts,,,,,
Reported,"707,773","359,957","294,130",783,"1,362,643"
Currency translation,"22,129","12,594","12,308",48,"47,079"
Adjusted,"729,902","372,551","306,438",831,"1,409,722"
