Footnotes,Europe,$m,Asia,$m,Latin America,$m,Total,$m
Financial assets,,,,,,,,
-,trading assets,-,,-,,,,
-,financial assets designated and otherwise mandatorily measured at fair value through profit or loss,"17,184","22,099",270,"39,553",,,
-,derivatives,"107,174",,281,,,,
-,financial investments - at amortised cost,"531,57","420,475","58,426",,,,
-,financial investments - at fair value through other comprehensive income,"13,894","706,321","14,921",,,,
-,other financial assets,"3,052","4,860",34,"7,946",,,
Reinsurance assets,,"245,3","521,4",,"3,770",,,
PVIF,884,"8,390",161,"9,435",,,,
Other assets and investment properties,"1,189","2,332",56,"3,577",,,,
Total assets,"37,086","99,502","1,321","137,909",,,,
Liabilities under investment contracts designated at fair value,"1,288","5,097",,"6,385",,,,
Liabilities under insurance contracts,"31,153","74,994","1,114","107,261",,,,
Deferred tax,204,"1,348",23,"1,575",,,,
Other liabilities,"2,426","4,800",18,"7,244",,,,
Total liabilities,"35,071","86,239","1,155","122,465",,,,
Total equity,"2,015","13,263",166,"15,444",,,,
Total liabilities and equity at 31 Dec 2020,"37,086","99,502","1,321","137,909",,,,
