Hedged item,,
Carrying amount,,
Assets $m Liabilities $m,,
Accumulated fair value hedge adjustments included in,,
carrying amount2,,
Assets $m Liabilities $m,,
Balance sheet presentation,,
Change in fair,,
value1,,
$m,,
Recognised in,,
profit and loss,,
$m,,
Profit and loss,,
presentation,,
Hedged risk,,
"90,617",,
"1,859",,
Financial assets designated and,,
otherwise mandatorily,,
measured at fair value through,,
other comprehensive income,,
"2,304",,
Interest rate3,,
153,,
4,,
Loans and advances to banks,,
5,,
"1,897",,
12,,
Loans and advances to,,
customers,,
24,,
"15,206",,
797,,
Debt securities in issue,,
"(1,011)",,
"3,009",,
39,,
Deposits by banks,,
202,,
At 31 Dec,,2019
"92,667",,
"18,215",,
"1,875",,
836,,
"1,524",,
(7),,
Net income from,,
financial instruments,,
held for trading or,,
managed on a fair,,
value basis,,
