At 1 Jan 2020,,,,,,,
Non-credit impaired,Stage 1,Stage 2,Stage 2,Stage 3,Stage 3,Total,Total
Gross carrying/nominal amount,$m,$m,$m,$m,$m,,
Allowance for ECL,$m,$m,$m,$m,$m,,
At 1 Jan 2020,"635,961",-597,"17,382","-1,338","5,046","-1,215","658,389"
Transfers of financial instruments,"(16,019)",,"13,370","1,181","2,649",-,-
Net remeasurement of ECL arising from transfer of stage,,431,,(555),,-,(132)
Net new and further lending/repayments,"30,891",101,"(5,407)",408,(677),150,"24,807"
Change in risk parameters – credit quality,,(147),,"(2,025)",,-,"(3,430)"
Changes to models used for ECL calculation,,(3),,(9),,5,-(7)
Assets written off,,,,,"(1,409)","1,407","1,409"
Foreign exchange and other,"14,513",(23),"1,425",(67),153,(32),"16,091"
At 31 Dec 2020,"665,346",-866,"26,770","-2,405","5,762","-1,503","697,878"
ECL income statement change for the period,,,,,,,"(2,655)"
