Loans and advances to customers at amortised cost,31 Dec 2020,31 Dec 2020,At 31 Dec 2019,At 31 Dec 2019
Loans and advances to customers at amortised cost,Gross carrying/ nominal amount,Allowance for ECL1,Gross carrying/ nominal amount,Allowance for ECL1
Loans and advances to customers at amortised cost,Footnotes $m,$m,$m,$m
Loans and advances to customers at amortised cost,"1,052,477","(14,490)","1,045,475","(8,732)"
-personal,"460,809","(4,731)","434,271","(3,134)"
- corporate and commercial,"527,088","(9,494)","540,499","(5,438)"
- non-bank financial institutions,"64,580",(265),"70,705",(160)
Loans and advances to banks at amortised cost,"81,658",(42),"69,219",(16)
Other financial assets measured at amortised cost,"772,408",(175),"615,179",(118)
- cash and balances at central banks,"304,486",(5),"154,101",(2)
：items in the course of collection from other banks,"4,094",一,"4,956",
- Hong Kong Government certificates of indebtedness,"40,420",一,"38,380",
-reverse repurchase agreements-non-trading,"230,628",1,"240,862",一
- financial investments 2,"88,719",(80),"85,788",(53)
"-prepayments,accrued income and other assets","104,061",(90),"91,092",(63)
Total gross carrying amount on-balance sheet,"1,906,543","(14,707)","1,729,873","(8,866)"
Loans and other credit-related commitments,"659,783",(734),"600,029",(329)
-personal,"236,170",(40),"223,314",(15)
- corporate and commercial,"299,802",(650),"278,524",(307)
- non-bank financial institutions,"123,811",(44),"98,191",7
Financial guarantees,"18,384",(125),"20,214",(48)
-personal,900,(1,804,(1)
- corporate and commercial,"12,946",(114),"14,804",(44)
- non-bank financial institutions 3,"4,538",(10),"4,606",(3
Total nominal amount off-balance sheet,"678,167",(859),"620,243",(377)
,"2,584,710","(15,566)","2,350,116","(9,243)"
