Total outstanding,Of which: unvested,Of which: total outstanding deferred and retained exposed to ex post explicit and/or implicit adjustment,Total amount of amendment during the year due to ex post implicit adjustment,Total amount of amendment during the year due to ex post explicit adjustment,Total amount of deferred paid out in the financial year
3.6,3.6,3.6,-,-,0.1
27.4,27.4,27.4,-,-,5.1
195.0,195.0,195.0,-,-,62.7
41.9,41.9,41.9,-,-,10.2
8.1,8.1,8.1,-,-,3.4
35.0,35.0,35.0,-,-,9.7
23.6,23.6,23.6,-,-,4.5
30.2,30.2,30.2,-,-,8.7
9.7,9.1,9.7,(5.4),-,2.5
25.7,22.4,25.7,(12.7),-,11.6
183.3,146.0,183.3,(90.5),-,130.6
45.9,38.1,45.9,(22.6),-,29.1
5.6,4.2,5.6,(2.7),-,4.3
39.5,31.5,39.5,(19.6),-,26.5
28.8,26.2,28.8,(14.5),-,18.0
35.2,27.7,35.2,(17.4),-,20.4
7.0,5.6,7.0,0.3,-,1.7
0.8,0.7,0.8,0.1,-,0.3
0.2,0.1,0.2,-,-,0.1
