Notes*,2020,$m,2019,$m,2018,$m
Net interest expense,,"(2,632)","(2,554)","(1,112)",,
interest income,,473,"1,249","2,193",,
interest expense,,"(3,105)","(3,803)","(3,305)",,
Fee (expense)/income,,(12),(2),0,,
Net income from financial instruments held for trading or managed on a fair value basis,,801,477,245,,
Changes in fair value of designated debt and related derivatives^1,,(326),(360),(77),,
Changes in fair value of other financial instruments mandatorily measured at fair value through profit or loss,,"1,141","1,659",43,,
Gains less losses from financial investments,,-,4,,,
Dividend income from subsidiaries^2,,"8,156","15,117","55,304",,
Other operating income,,"1,889","1,293",960,,
Total operating income,,"9,017","16,630","55,367",,
Employee compensation and benefits,,56,37,,,
General and administrative expenses,,"(4,276)","(4,772)","(4,507)",,
Impairment of subsidiaries,,-435,"(2,562)","2,064",,
Total operating expenses,,"(4,767)","(7,371)","(2,480)",,
Profit before tax,,"4,250","9,259","52,887",,
Tax (charge)/credit,,(165),(218),(62),,
Profit for the year,,"4,085","9,041","52,825",,
