,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %
,Stage 1 $m,Stage 2 Stage 3 POCl² $m,,,$m,Total Stage1 Stage 2 Stage 3 POCl² $m,$m,,$m,,Total Stage 1,Stage 2,%,Stage 3,POCI² Total,,
,,,$m,$m,,,,,$m,,$m,%,,%,%,%,
advances to customers at amortised cost,"869,920","163,185","19,095",277,"1,052,477","(1,974)","(4,965)","(7,439)",,"(112) (14,490)",0.2,3.0,39.0,40.4,,1.4,
personal,"430,134","25,064","5,611",1,"460,809",(827),"(2,402)","(1,502)",一,"(4,731)",0.2,9.6,,26.8,一,1.0,
：corporateand commercial,"387,563","126,287","12,961",277,"527,088","(1,101)","(2,444)","(5,837)",(112),"(9,494)",,0.3 1.9,,45.0,40.4,1.8,
non-bank financial institutions,"52,223","11,834",523,1,"64,580",(46),(119),,(100),1,(265) 0.1,1.0,,19.1,,,
Loans and advances to banks at amortised cost,,,,,,,,,,,,,,,,,
Other financial assets measured at amortised,"79,654","2,004",1,1,"81,658",(33),(9),,1 1,,(42),1,0.4,1,1,0.1,
cost Loan and other credit-related,"768,216","3,975",177,40,"772,408",(80),(44),(42),(9),(175),,1,1.1,23.7,22.5,,
commitments,"604,485","54,217","1,080",1,"659,783",(290),(365),(78),,(1),(734),1,0.7,7.2,100.0,0.1,
-personal corporate and,"234,337","1,681",152,1,"236,170",(39),(1),,1,,(40),二,0.1,二,1,二,
commercial financial,"253,062 117,086","45,851 6,685",888 40,1 1,"299,802 123,811",(236),(338),,(75),(1),(650) (44),0.1 1,0.7,8.4,100.0,0.2,
Financial guarantees,,,,,,(15),(26),,(3),,,,0.4,7.5,,二,
-personal,"14,090 872","4,024 26",269 2,1 1,"18,384 900",(37),(62) (1),(26),1,,(125) (1),0.3 二,1.5 3.8,9.7 二,一 二,0.7 0.1,
- corporate and commercial,,,,,,1,,,1,,,,,,,,
-financial,"9,536 3,682","3,157 841",252 15,1 一,"12,946 4,538",(35) (2),(54) (7),(25),(1),,(114) (10),0.4 0.1,1.7 0.8,9.9 6.7,1 1,0.9 0.2,
At 31 Dec 2020,"2,336,365","227,405","20,621",,"319 2,584,710","(2,414)","(5,445)","(7,585)",,"(122) (15,566)",,0.1,2.4,36.8,38.2,0.6,
