Footnotes,Total WPB,Banking operations,Insurance manufacturing,Global Private Banking,Asset management
2020,Net operating income before change in expected credit losses and other credit impairment charges,"22,013","17,346","1,874","1,745,1,048"
,net interest income,"15,090","12,181","2,241","670,(2)"
,net fee income/(expense),"5,408","4,094",(518),"828,1,004"
,other income,"1,515","1,071",151,"247,46"
ECL,"(2,855)","(2,707)",(80),(67),(1)
Net operating income,"19,158","14,639","1,794","1,678","1,047"
Total operating expenses,"(15,024)","(12,422)",(479),"(1,390)",(733)
Operating profit,"4,134","2,217","1,315",288,314
Share of profit in associates and joint ventures,6,5,1,—,—
Profit before tax,"4,140","2,222","1,316",288,314
