,Gross carrying amount,Gross carrying amount,Gross carrying amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %
,,,,,,,1 to 29 30 and >,1 to 29 30 and >,1 to 29 30 and >,1 to29,1 to29,1 to29
,Stage 2 Up-to-date,,1to29 DPD1,30and> DPD1,Stage 2,Up-to-date,DPD,DPD,Stage 2 Up-to-date,,DPD1,30and> DPD1
,$m,$m,$m,$m,$m,$m,$m,$m,%,%,%,%
Loans and advances to customers at amortised,,,,,,,,,,,,
cost,"80,182","76,035","2,471","1,676","(2,284)","(1,829)",(208),(247),2.8,2.4,8.4,14.7
personal,"15,751","12,658","1,804","1,289","(1,336)",（941,(178,(217,8.5,7.4,9.9,16.8
- corporate and commercial,"59,599","58,557",657,385,(920),(860),(30,(30,1.5,1.5,4.6,7.8
non-bank financial,,,,,,,,,,,,
institutions Loans and advances to,"4,832","4,820",10,,(28),(28,1,1,0.6,0.6,1,1
banks at amortised cost,"1,450","1,450",一,1,(2),(2),1,,0.1,0.1,,
Other financial assets,,,,,,,,,,,,
measured at amortised,,,,,,,,,,,,
,,,,,,,,,,2.1,,
cost,"1,827","1,783",14,30,(38),(38),1,一,2.1,,,
