Subsidiaries,% of share class held by immediate parent company (or by the Group where this varies),Footnotes
HSBC Executor & Trustee Company (UK) Limited,100.00,15
HSBC Factoring (France),100.00,"(99.99),34"
HSBC Finance (Netherlands),100.00,"2,16"
HSBC Finance Corporation,100.00,13
HSBC Finance Limited,100.00,16
HSBC Finance Mortgages Inc.,100.00,84
HSBC Finance Transformation (UK) Limited,100.00,16
HSBC Financial Services (Lebanon) s.a.l.,99.65,85
HSBC Financial Services (Middle East) Limited (In Liquidation),100.00,86
HSBC Financial Services (Uruguay) S.A. (In Liquidation),100.00,87
HSBC FinTech Services (Shanghai) Company Limited,100.00,88
HSBC Germany Holdings GmbH,100.00,38
HSBC Global Asset Management (Bermuda) Limited,100.00,"3,21"
HSBC Global Asset Management (Canada) Limited,100.00,66
HSBC Global Asset Management (Deutschland) GmbH,100.00,"(99.33),38"
HSBC Global Asset Management (France),100.00,"(99.99),55"
HSBC Global Asset Management (Hong Kong) Limited,100.00,22
HSBC Global Asset Management (International) Limited (In Liquidation),100.00,89
HSBC Global Asset Management (Japan) K. K.,100.00,90
HSBC Global Asset Management (Malta) Limited,100.00,"(70.03),91"
"HSBC Global Asset Management (México), S.A. de C.V., Sociedad Operadora de Fondos de Inversión, Grupo Financiero HSBC",100.00,"(99.99),14"
HSBC Global Asset Management (Oesterreich) GmbH,100.00,"(99.33),6,92"
HSBC Global Asset Management (Singapore) Limited,100.00,50
HSBC Global Asset Management (Switzerland) AG,100.00,"(99.66),4,93"
HSBC Global Asset Management (Taiwan) Limited,100.00,94
HSBC Global Asset Management (UK) Limited,100.00,16
HSBC Global Asset Management (USA) Inc.,100.00,95
HSBC Global Asset Management Argentina S.A. Sociedad Gerente de Fondos Comunes de Inversión,100.00,"(99.99),96"
HSBC Global Asset Management Holdings (Bahamas) Limited,100.00,97
HSBC Global Asset Management Limited,100.00,"2,16"
HSBC Global Custody Nominee (UK) Limited,100.00,16
HSBC Global Custody Proprietary Nominee (UK) Limited,100.00,"1,16"
HSBC Global Services (Canada) Limited,100.00,98
HSBC Global Services (China) Holdings Limited,100.00,16
HSBC Global Services (Hong Kong) Limited,100.00,44
HSBC Global Services (UK) Limited,100.00,16
HSBC Global Services Limited,100.00,"2,16"
HSBC Global Shared Services (India) Private Limited (In Liquidation),99.99,"1,51"
HSBC Group Management Services Limited,100.00,16
HSBC Group Nominees UK Limited,100.00,"2,16"
HSBC Holdings B.V.,100.00,16
HSBC IM Pension Trust Limited,100.00,16
HSBC Infrastructure Debt GP 1 S.à r.l.,N/A,"0,52"
HSBC Infrastructure Debt GP 2 S.à r.l.,N/A,"0,52"
HSBC Infrastructure Limited,100.00,16
HSBC INKA Investment-AG TGV,100.00,"(99.33),12,99"
"HSBC Inmobiliaria (Mexico), S.A. de C.V.",100.00,"(99.99),14"
HSBC Institutional Trust Services (Asia) Limited,100.00,44
HSBC Institutional Trust Services (Bermuda) Limited,100.00,21
