Subsidiaries,% of share class held by immediate parent company (or by the Group where this varies),Footnotes
452 TALF Plus ABS Opportunities SPV LLC,100.00,13
452 TALF SPV LLC,100.00,13
Almacenadora Banpacifico S.A. (In Liquidation),99.99,14
Assetfinance December (F) Limited,100.00,15
Assetfinance December (H) Limited,100.00,16
Assetfinance December (M) Limited (In Liquidation),100.00,17
Assetfinance December (P) Limited,100.00,16
Assetfinance December (R) Limited,100.00,16
Assetfinance June (A) Limited,100.00,16
Assetfinance June (D) Limited,100.00,15
Assetfinance Limited,100.00,16
Assetfinance March (B) Limited,100.00,18
Assetfinance March (D) Limited,100.00,15
Assetfinance March (F) Limited,100.00,16
Assetfinance September (F) Limited,100.00,16
Assetfinance September (G) Limited,100.00,15
B&Q Financial Services Limited,100.00,16
Banco HSBC S.A.,100.00,19
Banco Nominees (Guernsey) Limited,100.00,20
Banco Nominees 2 (Guernsey) Limited,100.00,20
Banco Nominees Limited,100.00,21
Beau Soleil Limited Partnership,N/A,"0, 22"
Beijing Miyun HSBC Rural Bank Company Limited,100.00,"10, 23"
Billingsgate Nominees Limited (In Liquidation),100.00,24
Canada Crescent Nominees (UK) Limited,100.00,16
Canada Square Nominees (UK) Limited,100.00,16
"Capco/Cove, Inc.",100.00,25
"Card-Flo #1, Inc.",100.00,13
"Card-Flo #3, Inc.",100.00,13
CC&H Holdings LLC,100.00,26
CCF HOLDING (URBAN) S.A. (In liquidation),74.00,27
CCF HOLDING (LIBAN) S.A.L. (In Liquidation),74.99,27
Charterhouse Administrators (D.T.) Limited,100.00,"(99.99),16"
Charterhouse Management Services Limited,100.00,"(99.99),16"
Charterhouse Pensions Limited,100.00,16
Chongqing Dazu HSBC Rural Bank Company Limited,100.00,"10, 28"
Chongqing Fengdu HSBC Rural Bank Company Limited,100.00,"10, 29"
Chongqing Rongchang HSBC Rural Bank Company Limited,100.00,"10, 30"
COIF Nominees Limited,N/A,"0, 16"
Cordico Management AG (In Liquidation),100.00,31
"Corsair IV Financial Services Capital Partners-B, LP",N/A,"0, 185"
Dalian Pulandian HSBC Rural Bank Company Limited,100.00,"10, 32"
"Decision One Mortgage Company, LLC",N/A,"0, 33"
Dem 9,100.00,"(99.99),4, 34"
EP    N/A    0,185,
Dalian Pulandian HSBC Rural Bank Company Limited 100.00 10,32,
Decision One Mortgage Company,"LLC N/A 0,33",
Dem 9 100.00 (99.99) 4,34,
Dempar 1 100.00 (99.99) 4,34,
Desarrollo Turistico,S.A. de C.V. (In Liquidation) 100.00 14,
Electronic Data Process México,S.A. de C.V. 100.00 14,
Equator Holdings Limited (In Liquidation) 100.00 17,,
Eton Corporate Services Limited 100.00 20,,
Far East Leasing SA (In Dissolution) 100.00 35,,
Flandres Contentieux S.A. 100.00 (99.99) 34,,
Foncière Elysées 100.00 (99.99) 34,,
Fujian Yongan HSBC Rural Bank Company Limited 100.00 10,36,
Fulcher Enterprises Company Limited 100.00 (62.14) 37,,
Fundacion HSBC,"A.C. 100.00 (99.99) 9,14",
Giller Ltd. 100.00 25,,
GPIF Co-Investment,"LLC N/A 0,13",
