,Gross carrying amount,Gross carrying amount,Gross carrying amount,Gross carrying amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,ECL coverage%,ECL coverage%,ECL coverage%,ECL coverage%
,Stage 2,Up-to- date,1 to 29 DPD1.2,"30 and > DPD1,2",Stage 2,Up-to- date,1 to 29 DPD1.2,30 and > DPD1.2,Stage 2,Up-to- date,"1 to 29 DPD1,2","30 and > DPD1,2"
,$m,$m,$m,$m,$m,$m,$m,$m,%,%,%,%
Loans and advances to customers at amortised,,,,,,,,,,,,
cost -personal,"163,185 25,064","159,367 22,250","2,052 1,554","1,766 1,260","(4,965) (2,402)","(4,358) (1,895)",(275) (227),(332) (280),3.0 9.6,2.7 8.5,13.4 14.6,18.8 22.2
corporate and,,,,,,,,,,,,
commercial ：non-bank financial,"126,287","125,301",489,497,"(2,444)","(2,344)",(48),(52),1.9,1.9,9.8,10.5
institutions Loans and advances to,"11,834","11,816",9,9,(119),(119),1,1,1.0,1.0,1,1
banks at amortised cost Other financial assets,"2,004","2,004",1,1,(9),(9),1,1,0.4,0.4,1,1
measured at amortised cost,"3,975","3,963",,,,,,,,,,
