2018,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Footnotes,$m,$m,$m,$m,$m
Net operating income/(expense) before change in expected credit losses and other credit impairment charges,1,23551,14374,15056,"-883,52098"
,external,19096,14675,18780,"-453,52098"
,inter-segment,4455,-301,-3724,"-430,-"
,of which: net interest income/(expense),16418,10220,4880,"-2070,29448"
Change in expected credit losses and other credit impairment (charges)/recoveries,,-1072,-683,34,"101,-1620"
Net operating income/(expense),22479,13691,15090,-782,50478
Total operating expenses,14614,6307,9316,1486,31723
Operating profit/(loss),7865,7384,5774,-2268,18755
Share of profit in associates and joint ventures,32,-,-,2412,2444
Adjusted profit before tax,7897,7384,5774,144,21199
,%,,,,
Share of HSBC’s adjusted profit before tax,37.3,34.8,27.2,0.7,100.0
Adjusted cost efficiency ratio,62.1,43.9,61.9,-168.3,60.9
Adjusted balance sheet data,$m,$m,$m,$m,$m
Loans and advances to customers (net),419231,344855,253319,1599,1019004
Interests in associates and joint ventures,399,-,-,22753,23152
Total external assets,741222,520403,1261807,128021,2651453
Customer accounts,729902,372551,306438,831,1409722
