Footnotes,2020 UK $m,2020 Hong Kong $m,2020 Mainland China $m,2020 US $m,2020 Mexico $m
Revenue,Reported,13,886,16,"345,3,088,4,590,2,234"
Revenue,Significant items,customer redress programmes,21,−,"−,−,−"
Revenue,Significant items,disposals, acquisitions and investment in new businesses,−,"−,−,10,−"
Revenue,Significant items,fair value movements on financial instruments,−,−,"−,−,−"
Revenue,Significant items,restructuring and other related costs,48,15,"−,33,−"
Revenue,Adjusted,13,699,16,"360,3,083,4,631,2,221"
ECL,Reported,(3,256),(824),"(114),(622),(1,050)"
ECL,Adjusted,(3,256),(824),"(114),(622),(1,050)"
Operating expenses,Reported,(14,855),(7,"312),(2,211),(4,194),(1,376)"
Operating expenses,Significant items,customer redress programmes,(54),−,"−,−,−"
Operating expenses,Significant items,impairment of goodwill and other intangibles,650,−,"−,223,−"
Operating expenses,Significant items,past service costs of guaranteed minimum pension benefits equalisation,17,−,"−,−,−"
Operating expenses,Significant items,restructuring and other related costs,693,100,"19,333,42"
Operating expenses,Significant items,settlements and provisions in connection with legal and regulatory matters,12,−,"−,−,−"
Operating expenses,Adjusted,(13,537),(7,"212),(2,192),(3,638),(1,334)"
Share of profit/(loss) in associates and joint ventures,Reported,1,(−2),1,"849,−,5"
Share of profit/(loss) in associates and joint ventures,Significant items,impairment of goodwill,−,−,"−,−,−"
Share of profit/(loss) in associates and joint ventures,Adjusted,1,(−2),1,"849,−,5"
Profit/(loss) before tax,Reported,(4,224),8,"207,2,612,(226),(187)"
Profit/(loss) before tax,Significant items,revenue,(−187),15,"(−5),41,(−13)"
Profit/(loss) before tax,Significant items,operating expenses,1,318,"100,19,556,42"
Profit/(loss) before tax,Significant items,share of profit in associates and joint ventures,−,−,"−,−,−"
Profit/(loss) before tax,Adjusted,(3,093),8,"322,2,626,371,(158)"
Loans and advances to customers (net),Reported,314,530,302,"454,46,113,58,082,17,296"
Loans and advances to customers (net),Adjusted,314,530,302,"454,46,113,58,082,17,296"
Customer accounts,Reported,504,275,531,"489,56,826,117,485,22,220"
Customer accounts,Adjusted,504,275,531,"489,56,826,117,485,22,220"
