Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,,,,,,,,,,,,,,,,,,,,
Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Gross carrying amount Allowance for ECL Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m,Corporate Non-bank Corporate Non-bankand Of which: financial and Of which: financial commercial real estate; institutions Total commercial real estate' institutions Total $m $m $m $m $m $m $m $m
Europe,"179,104","179,104","179,104","179,104","26,505","26,505","26,505","22,176","22,176","201,280","(3,918) (632)","(3,918) (632)","(3,918) (632)","(3,918) (632)","(3,918) (632)","(3,918) (632)","(3,918) (632)",(185),(185),"(4,103)",,,,,,,,,,,,,,,,,,,,
- UK,"128,933","128,933","128,933","128,933","18,890 5,740","18,890 5,740","18,890 5,740","16,1653,557","16,1653,557","145,09835,835","(2,958)(645)","(2,958)(645)","(2,958)(645)","(2,958)(645)",(574)(40),(574)(40),(574)(40),(147) (26)(3),(147) (26)(3),"(3,105)(671)",,,,,,,,,,,,,,,,,,,,
-France,,,,"32,278","18,890 5,740","18,890 5,740","18,890 5,740","16,1653,557","16,1653,557","145,09835,835","(2,958)(645)","(2,958)(645)","(2,958)(645)","(2,958)(645)",(574)(40),(574)(40),(574)(40),(147) (26)(3),(147) (26)(3),"(3,105)(671)",,,,,,,,,,,,,,,,,,,,
-Germany,,,,"8,309",,,364,364,"1,156","9,465",(125),(125),(125),(125),1,1,1,(147) (26)(3),(147) (26)(3),(3)1(9),(3)1(9),(128)(14)(185),,,,,,,,,,,,,,,,,,
- Switzerland,,,"1,489","1,489",,576,576,513,513,"2,002",(14),(14),(14),(14),1,1,1,,,,,,,,,,,,,,,,,,,,,,,
-other,"8,095","8,095","8,095","8,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-other,"8,095","8,095","8,095","8,095",935,935,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-other,"8,095","8,095","8,095","8,095",935,935,935,785,785,"8,880",(176),(176),(176),(176),(18),(18),(18),,,,,,,,,,,,,,,,,,,,,,,
Asia,"257,942","257,942","257,942","257,942","82,359","82,359","82,359","31,637","31,637","289,579","(2,766)","(2,766)","(2,766)","(2,766)",(162),(162),(162),(38),(38),(3)1(9),(3)1(9),(128)(14)(185),"(2,804)",,,,,,,,,,,,,,,,,
-Hong Kong,"162,0399,769","162,0399,769","162,0399,769","162,0399,769","64,216","64,216","64,216","18,406","18,406","180,445","(1,180)","(1,180)","(1,180)","(1,180)",(83),(83),(83),(15)1,(15)1,(3)1(9),(3)1(9),(128)(14)(185),"(1,195)(95)",,,,,,,,,,,,,,,,,
-Australia,"162,0399,769","162,0399,769","162,0399,769","162,0399,769",,"9,769","9,769","1,813","1,813","1,813","1,348","1,348","11,117",(95),(95),(95),(95),(15)1,(15)1,(3)1(9),(3)1(9),(128)(14)(185),"(1,195)(95)",(2),(2),(2),,,,,,,,,,,,,,
- India,,,,"7,223","7,223","1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","3,0752467,128123362","10,2983,945",(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),(3)1(9),(3)1(9),(128)(14)(185),(94)(229) (205)(86)(782)0(118),,,,,,,,,,,,,,,,,
-Indonesia,,,"3,699","3,699",,"1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","3,0752467,128123362","10,2983,945",(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),"3,945 35,571",,,,,,,,,,,,,,,,,,,,
-mainland China,,,,"28,443",,"1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","3,0752467,128123362","35,5717,351",(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),"3,945 35,571",,,,,,,,,,,,,,,,,,,,
-Malaysia,,,"7,228","7,228",,"1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","3,0752467,128123362","35,5717,351",(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),,,,,,,,,,,,,,,,,,,,,
-Singapore,,,"18,859","18,859",,,"1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","3,0752467,128123362",36260,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),"19,2216,175",,,,,,,,,,,,,,,,,,,,
-Taiwan,,,"6,115","6,115",,"1,951816,2511,968 4,63750","1,951816,2511,968 4,63750","1,951816,2511,968 4,63750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-other,"14,567","14,567","14,567","14,567","1,392","1,392","1,392",889,889,36260,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(90)(229)(187)(86)(782)0,(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),"19,2216,175",,,,"15,456",(117),(117),(117),(117),,,,,,,,,,,,
Middle East and North Africa (excludingSaudi Arabia),"24,625","24,625","24,625","24,625","1,839","1,839","1,839","379 25,004 (1,512)","379 25,004 (1,512)","379 25,004 (1,512)","379 25,004 (1,512)","379 25,004 (1,512)","379 25,004 (1,512)","379 25,004 (1,512)",(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(18)(2) (23)(27)(2)1(5),(4)0(18)11(1),(4)0(18)11(1),(187) (9),(187) (9),(187) (9),(187) (9),(187) (9),"(1,521)",,,,,,,,,,,,,,,
-Egypt,"2,162","2,162","2,162","2,162","371,690","371,690","371,690",13170196,13170196,"2,17513,655",(157),(157),(157),(157),7(176)（4),7(176)（4),7(176)（4),(3)(2)(4),(3)(2)(4),"(160)(1,021)(340)",,,,,,,,,,,,,,,,,,,,
- UAE,,"13,485","13,485","13,485","371,690","371,690","371,690",13170196,13170196,"2,17513,655",,,,,,7(176)（4),7(176)（4),(3)(2)(4),(3)(2)(4),"(160)(1,021)(340)","(1,019)",,,,,,,,,,,,,,,,,,,
-other,"8,978","8,978","8,978","8,978",112,112,112,13170196,13170196,"9,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
