,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,,,,,,,,
,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,but not more,but not,but not,,,,,
,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,more than more than,more than more than,more than more than,more than more than,more than more than,more than more than,more than more than,than
,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,1 month 3 months,1 month 3 months,1 month 3 months,1 month 3 months,1 month 3 months,6 months 9 months,6 months 9 months,1 year
,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year 2 years Due not but not but not but not but not more but not but not more than more than more than more than than more than more than Due over1 month 3 months 6 months 9 months 1 year 2 years 5 years 5 years Total$m $m $m $m $m $m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m $m $m $m,$m
Debt securities issued,"18,057","18,057","18,057","18,057","16,848","20,314","15,208","7,561","20,768","49,948","49,948","59,911","208,615",,,,,,,,
- unsecured CDs and CP,"4,048","4,048","4,048","4,048","8,440","9,977","6,186","2,945","1,474","1,454","1,454","1,546","36,070",,,,,,,,
- unsecured senior MTNs,,"9,625","9,625","9,625","3,363","3,915","4,684","2,005","9,295","35,834","35,834","49,2096,765","117,93022,994",,,,,,,,
：unsecured senior structured notes,,,"2,075","2,075","2,075","1,539","1,451","1,242","1,241","3,702","3,702","49,2096,765","117,93022,994","4,979",,,,,,,
secured covered bonds,,,1,1,1,28,1,750,"2,514","3,917","3,917",1,"7,209",,,,,,,,
